feature_name,feature_label,language,task_type,cell_id,cell_label,n_ad,n_hc,cohens_d,welch_p,welch_bonferroni_p,welch_rank,welch_significant_bonferroni,welch_top_50
ac_f0_mean,F0 mean,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,-0.5770976156851554,0.208072229269382,1.0,94.0,False,False
ac_f0_std,F0 variability,el,REPETITION,el|REPETITION,"EL PD+FT
REPETITION",24,8,0.2079473536703508,0.6465363703440579,1.0,169.0,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_f0_mean,F0 mean,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_f0_std,F0 variability,en,COMMAND,en|COMMAND,"EN FC
COMMAND",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_f0_mean,F0 mean,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_f0_std,F0 variability,en,CONVERSATION,en|CONVERSATION,"EN PD+FT
CONVERSATION",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_f0_mean,F0 mean,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_f0_std,F0 variability,en,MIXED_PROTOCOL,en|MIXED_PROTOCOL,"EN PD+FT+SR+NA
MIXED_PROTOCOL",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,egemaps f0semitonefrom27 5hz sm...,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,egemaps f0semitonefrom27 5hz sm...,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,egemaps f0semitonefrom27 5hz sm...,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,logRelF0 H1-H2,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,logRelF0 H1-A3,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_f0_mean,F0 mean,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_f0_std,F0 variability,en,OTHER,en|OTHER,"EN PD+FT+NA
OTHER",0,0,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,F0 semitone mean,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",0,31,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,F0 semitone variability,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",0,31,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,egemaps f0semitonefrom27 5hz sm...,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",0,31,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,egemaps f0semitonefrom27 5hz sm...,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",0,31,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,egemaps f0semitonefrom27 5hz sm...,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",0,31,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,F0 semitone range,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",0,31,,,,,False,False
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,egemaps f0semitonefrom27 5hz sm...,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",0,31,,,,,False,False
