feature_name,feature_label,feature_group,feature_family,task_specific,valid_task_types,language,task_type,cell_id,cell_label,paper_task_labels,paper_task_labels_display,datasets,applicable,valid_effect,min5_cell,robust_min10_cell,n_ad,n_hc,mean_ad,mean_hc,cohens_d,cohens_d_abs,direction,welch_p,anova_p,welch_bonferroni_p,anova_bonferroni_p,welch_significant_bonferroni,anova_significant_bonferroni,welch_rank,anova_rank,welch_top_5,anova_top_5,welch_top_10,anova_top_10,welch_top_20,anova_top_20,welch_top_50,anova_top_50,welch_top_100,anova_top_100
lex_mattr_20,MATTR 20,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.8069608938101156,0.8595973142157187,-0.47766821971641543,0.47766821971641543,lower_in_AD,0.008035666806526278,0.007285658312778016,1.0,1.0,False,False,39.0,27.0,False,False,False,False,False,False,True,True,True,True
lex_hapax_ratio,hapax ratio,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.5481698394881412,0.6581331656267264,-0.5496772905887342,0.5496772905887342,lower_in_AD,0.00236190087578216,0.00210776811121363,0.5597705075603719,0.49954104235763036,False,False,20.0,17.0,False,False,False,False,True,True,True,True,True,True
lex_repetition_rate,repetition rate,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.27670435404518173,0.2093978404387535,0.47500685800719,0.47500685800719,higher_in_AD,0.008788569251007601,0.007608935674297637,1.0,1.0,False,False,41.0,28.0,False,False,False,False,False,False,True,True,True,True
lex_mean_token_length,mean token length,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,4.463829000509655,4.683769799375494,-0.301757496171106,0.301757496171106,lower_in_AD,0.09143982596003417,0.08739854521570424,1.0,1.0,False,False,81.0,82.0,False,False,False,False,False,False,False,False,True,True
lex_std_token_length,std token length,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,2.1725746256502503,2.3668897199354735,-0.40422786417146866,0.40422786417146866,lower_in_AD,0.022099807038592434,0.02262462727077575,1.0,1.0,False,False,50.0,51.0,False,False,False,False,False,False,True,False,True,True
lex_function_word_ratio,function-word ratio,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.5061548323244096,0.4795252896195845,0.25344319559918654,0.25344319559918654,higher_in_AD,0.14000586685306823,0.1504435663689561,1.0,1.0,False,False,99.0,102.0,False,False,False,False,False,False,False,False,True,False
lex_content_word_ratio,content-word ratio,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.4688497846208488,0.49114012840809096,-0.2160156317325385,0.2160156317325385,lower_in_AD,0.20957485716434235,0.21984660113399324,1.0,1.0,False,False,118.0,122.0,False,False,False,False,False,False,False,False,False,False
lex_brunet,brunet,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,7.99342215664916,7.725335846473817,0.1744032391997179,0.1744032391997179,higher_in_AD,0.3270690434701691,0.3214042476629931,1.0,1.0,False,False,137.0,136.0,False,False,False,False,False,False,False,False,False,False
lex_honore,honore,lex,lexical,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,74,54,1669.916857854416,2450.885619737955,-0.6579745902374817,0.6579745902374817,lower_in_AD,0.0010941730571870948,0.00034880294910084143,0.2593190145533415,0.08266629893689942,False,False,15.0,11.0,False,False,False,False,True,True,True,True,True,True
pause_filled_count,filled count,pause,pause/fluency,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.23684210526315788,0.21052631578947367,0.02571333074556479,0.02571333074556479,higher_in_AD,0.870506927896109,0.8835553163409964,1.0,1.0,False,False,209.0,209.0,False,False,False,False,False,False,False,False,False,False
pause_filled_per_100_words,filled per 100 words,pause,pause/fluency,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.3884928562633968,0.41175580256253164,-0.018349705475365772,0.018349705475365772,lower_in_AD,0.9141228235508057,0.9167547459480273,1.0,1.0,False,False,212.0,212.0,False,False,False,False,False,False,False,False,False,False
disc_repeated_unigram_ratio,repeated unigram ratio,disc,discourse,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.27670435404518173,0.2093978404387535,0.47500685800719,0.47500685800719,higher_in_AD,0.008788569251007601,0.007608935674297637,1.0,1.0,False,False,42.0,29.0,False,False,False,False,False,False,True,True,True,True
disc_repeated_bigram_ratio,repeated bigram ratio,disc,discourse,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.07889073789866521,0.05272356651395366,0.23000575053419592,0.23000575053419592,higher_in_AD,0.21040770889916713,0.19158766989321208,1.0,1.0,False,False,119.0,117.0,False,False,False,False,False,False,False,False,False,False
disc_repeated_trigram_ratio,repeated trigram ratio,disc,discourse,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.037026283260177324,0.029663751036840852,0.07359778308357914,0.07359778308357914,higher_in_AD,0.6936317458048015,0.6751496599263649,1.0,1.0,False,False,184.0,183.0,False,False,False,False,False,False,False,False,False,False
disc_immediate_repetition_count,immediate repetition count,disc,discourse,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.34210526315789475,0.10526315789473684,0.38935122552976853,0.38935122552976853,higher_in_AD,0.016759168045317303,0.027993660901535353,1.0,1.0,False,False,47.0,54.0,False,False,False,False,False,False,True,False,True,True
syn_noun_ratio,noun ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.16183412964707397,0.16900720636189517,-0.08022283974331351,0.08022283974331351,lower_in_AD,0.6261394863605191,0.6478238534980534,1.0,1.0,False,False,178.0,180.0,False,False,False,False,False,False,False,False,False,False
syn_verb_ratio,verb ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.16215428475539015,0.17310086173634007,-0.15707288833041438,0.15707288833041438,lower_in_AD,0.38337026676310193,0.3716639488917302,1.0,1.0,False,False,142.0,140.0,False,False,False,False,False,False,False,False,False,False
syn_adj_ratio,adj ratio,syn,syntax,False,ALL,el,PD_CTP,el|PD_CTP,"EL PD+FT
PD_CTP",PD|FT,PD|FT,ADReSS-M|DS3|DS5|DS7,True,True,True,True,76,57,0.05196229183930442,0.05260225643395765,-0.011425200415972031,0.011425200415972031,lower_in_AD,0.9477218889342761,0.9481100220076452,1.0,1.0,False,False,217.0,217.0,False,False,False,False,False,False,False,False,False,False
