feature_name,feature_label,feature_group,feature_family,task_specific,valid_task_types,language,task_type,cell_id,cell_label,paper_task_labels,paper_task_labels_display,datasets,applicable,valid_effect,min5_cell,robust_min10_cell,n_ad,n_hc,mean_ad,mean_hc,cohens_d,cohens_d_abs,direction,welch_p,anova_p,welch_bonferroni_p,anova_bonferroni_p,welch_significant_bonferroni,anova_significant_bonferroni,welch_rank,anova_rank,welch_top_5,anova_top_5,welch_top_10,anova_top_10,welch_top_20,anova_top_20,welch_top_50,anova_top_50,welch_top_100,anova_top_100
pd_semantic_similarity_to_unit_list,semantic similarity to unit list,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,0.08331049152042716,0.08759809524930375,-0.14758673207832712,0.14758673207832712,lower_in_AD,0.016518849653312996,0.007263695516876205,0.2973392937596339,0.13074651930377168,False,False,11.0,9.0,False,False,False,True,True,True,True,True,True,True
pd_num_unique_keywords,PD unique keywords,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,34.086999999999996,41.68719270420301,-0.8240800864562045,0.8240800864562045,lower_in_AD,3.26437279118909e-35,6.433240262875275e-48,5.875871024140362e-34,1.1579832473175494e-46,True,True,4.0,4.0,True,True,True,True,True,True,True,True,True,True
pd_num_total_keywords,num total keywords,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,15.15485185185185,19.296590007930213,-0.5783555125603347,0.5783555125603347,lower_in_AD,7.837302067421878e-26,3.5447343347046766e-25,1.4107143721359381e-24,6.380521802468418e-24,True,True,6.0,6.0,False,False,True,True,True,True,True,True,True,True
pd_unique_unit_density,unique unit density,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,0.10949288001342923,0.10684070223693061,0.05185064693257884,0.05185064693257884,higher_in_AD,0.40796587793420425,0.3451687383369958,1.0,1.0,False,False,15.0,15.0,False,False,False,False,True,True,True,True,True,True
pd_total_unit_density,total unit density,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,0.15884953746341152,0.16036474905991638,-0.025438243647931544,0.025438243647931544,lower_in_AD,0.6855433338692223,0.6432361485769815,1.0,1.0,False,False,17.0,17.0,False,False,False,False,True,True,True,True,True,True
pd_unique_unit_efficiency,unique unit efficiency,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,False,False,True,0,31,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_total_unit_efficiency,total unit efficiency,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,False,False,True,0,31,,,,,none,,,,,False,False,,,False,False,False,False,False,False,False,False,False,False
pd_percentage_units_mentioned,PD units mentioned,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,0.5323209876543209,0.6641494912113468,-0.8804972945290428,0.8804972945290428,lower_in_AD,3.5668155564049923e-40,5.177854914221486e-54,6.420268001528987e-39,9.320138845598675e-53,True,True,2.0,2.0,True,True,True,True,True,True,True,True,True,True
pd_keyword_ttr,keyword ttr,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,446,1261,2.4558330464642353,2.355850759999753,0.15543173767137314,0.15543173767137314,higher_in_AD,0.0077296121403782145,0.004838498845531238,0.13913301852680787,0.08709297921956229,False,False,8.0,8.0,False,False,True,True,True,True,True,True,True,True
pd_mean_utterance_to_unit_similarity,mean utterance to unit similarity,pd,task:PD,True,PD_CTP,en,PD_CTP,en|PD_CTP,"EN PD+FT
PD_CTP",PD|FT,PD|FT,Kempler|Lu|Pitt|TAUKADIAL|WLS,True,True,True,True,450,1261,0.030615989031023968,0.032293828505416684,-0.12510980419612788,0.12510980419612788,lower_in_AD,0.02032292603372174,0.02282563071380823,0.3658126686069913,0.41086135284854813,False,False,13.0,14.0,False,False,False,False,True,True,True,True,True,True
