run_name,subset_name,top_k,num_selected_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_zh_cookie_theft_phase2,task_specific_semantic,100,20,lr,c1,0.8198529411764706,0.7877758913412564,0.875,0.7647058823529411,0.6363636363636364,0.9411764705882352,0.9186507936507936,0.8
language_zh_cookie_theft_phase2,phase1_universal,100,100,svm,linear_c1,0.7867647058823529,0.7771836007130125,0.75,0.8235294117647058,0.6666666666666666,0.9044117647058822,0.8404761904761905,0.8
language_zh_cookie_theft_phase2,phase1_universal,50,50,svm,linear_c1,0.7867647058823529,0.7771836007130125,0.75,0.8235294117647058,0.6666666666666666,0.8970588235294117,0.8104978354978356,0.8
language_zh_cookie_theft_phase2,semantic_plus_pause,50,41,svm,linear_c1,0.8198529411764706,0.7877758913412564,0.875,0.7647058823529411,0.6363636363636364,0.875,0.8076704545454545,0.8
language_zh_cookie_theft_phase2,semantic_plus_pause,100,41,svm,linear_c1,0.8198529411764706,0.7877758913412564,0.875,0.7647058823529411,0.6363636363636364,0.875,0.8076704545454545,0.8
language_zh_cookie_theft_phase2,phase1_universal,100,100,svm,rbf_c1,0.7536764705882353,0.7619047619047619,0.625,0.8823529411764706,0.7142857142857143,0.8602941176470589,0.7767676767676768,0.8
language_zh_cookie_theft_phase2,all_phase2,50,50,rf,n200,0.7205882352941176,0.7401247401247402,0.5,0.9411764705882352,0.8,0.8529411764705882,0.8052978883861237,0.8
language_zh_cookie_theft_phase2,rich_universal,50,50,rf,n200,0.7205882352941176,0.7401247401247402,0.5,0.9411764705882352,0.8,0.8419117647058824,0.7936720142602496,0.8
language_zh_cookie_theft_phase2,phase1_universal,50,50,rf,n200,0.7205882352941176,0.7401247401247402,0.5,0.9411764705882352,0.8,0.8272058823529411,0.7365478883861237,0.8
language_zh_cookie_theft_phase2,all_phase2,100,100,lr,c1,0.7536764705882353,0.7619047619047619,0.625,0.8823529411764706,0.7142857142857143,0.8235294117647058,0.7247023809523809,0.8
language_zh_cookie_theft_phase2,phase1_universal,100,100,rf,n200,0.7205882352941176,0.7401247401247402,0.5,0.9411764705882352,0.8,0.8235294117647058,0.7801776960784315,0.8
language_zh_cookie_theft_phase2,all_phase2,100,100,rf,n200,0.7205882352941176,0.7401247401247402,0.5,0.9411764705882352,0.8,0.8088235294117647,0.7748949579831933,0.8
language_zh_cookie_theft_phase2,phase1_universal,100,100,dt,depth20,0.7867647058823529,0.7771836007130125,0.75,0.8235294117647058,0.6666666666666666,0.7867647058823529,0.58,0.8
language_zh_cookie_theft_phase2,rich_universal,100,100,rf,n200,0.7205882352941176,0.7401247401247402,0.5,0.9411764705882352,0.8,0.7867647058823529,0.7004960317460317,0.8
language_zh_cookie_theft_phase2,rich_universal,50,50,dt,depth20,0.7536764705882353,0.7619047619047619,0.625,0.8823529411764706,0.7142857142857143,0.7536764705882353,0.5664285714285715,0.8
language_zh_cookie_theft_phase2,all_phase2,50,50,dt,depth20,0.7536764705882353,0.7619047619047619,0.625,0.8823529411764706,0.7142857142857143,0.7536764705882353,0.5664285714285715,0.8
language_zh_cookie_theft_phase2,all_phase2,50,50,svm,linear_c1,0.7242647058823529,0.7242647058823529,0.625,0.8235294117647058,0.625,0.8823529411764706,0.7910037878787879,0.76
language_zh_cookie_theft_phase2,semantic_plus_pause,50,41,lr,c1,0.7573529411764706,0.7395833333333333,0.75,0.7647058823529411,0.6,0.8676470588235294,0.812202380952381,0.76
language_zh_cookie_theft_phase2,semantic_plus_pause,100,41,lr,c1,0.7573529411764706,0.7395833333333333,0.75,0.7647058823529411,0.6,0.8676470588235294,0.812202380952381,0.76
language_zh_cookie_theft_phase2,rich_universal,100,100,svm,linear_c1,0.7573529411764706,0.7395833333333333,0.75,0.7647058823529411,0.6,0.8161764705882353,0.7181985294117648,0.76
language_zh_cookie_theft_phase2,rich_universal,100,100,dt,depth20,0.7242647058823529,0.7242647058823529,0.625,0.8235294117647058,0.625,0.7242647058823529,0.510625,0.76
language_zh_cookie_theft_phase2,rich_universal,50,50,svm,linear_c1,0.6617647058823529,0.6666666666666667,0.5,0.8235294117647058,0.5714285714285714,0.875,0.7823232323232323,0.72
language_zh_cookie_theft_phase2,all_phase2,100,100,svm,linear_c1,0.6948529411764706,0.6880570409982174,0.625,0.7647058823529411,0.5555555555555556,0.8382352941176471,0.7607600732600732,0.72
language_zh_cookie_theft_phase2,phase1_universal,50,50,dt,depth20,0.6948529411764706,0.6880570409982174,0.625,0.7647058823529411,0.5555555555555556,0.6948529411764706,0.4672222222222222,0.72
language_zh_cookie_theft_phase2,all_phase2,100,100,dt,depth20,0.6323529411764706,0.6323529411764706,0.5,0.7647058823529411,0.5,0.6323529411764706,0.41,0.68
language_zh_cookie_theft_phase2,task_specific_semantic,50,20,dt,depth20,0.5698529411764706,0.5714285714285714,0.375,0.7647058823529411,0.4285714285714285,0.5698529411764705,0.3607142857142857,0.64
language_zh_cookie_theft_phase2,task_specific_semantic,100,20,dt,depth20,0.5698529411764706,0.5714285714285714,0.375,0.7647058823529411,0.4285714285714285,0.5698529411764705,0.3607142857142857,0.64
