run_name,subset_name,top_k,num_selected_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_en_pd_ctp_phase2,phase1_universal,50,50,svm,rbf_c1,0.8170731707317073,0.7230325223435948,0.7402235344805738,0.5283018867924528,0.9177631578947368,0.691358024691358,0.80371772591857,0.7050824713978373
language_en_pd_ctp_phase2,phase1_universal,100,100,svm,linear_c1,0.8097560975609757,0.7334595332671301,0.7420967741935484,0.5754716981132075,0.8914473684210527,0.648936170212766,0.8263716484607746,0.728392783345998
language_en_pd_ctp_phase2,phase1_universal,50,50,svm,linear_c1,0.8073170731707318,0.7195258192651439,0.7323383824610985,0.5377358490566038,0.9013157894736842,0.6551724137931034,0.8016074975173785,0.7038111550919374
language_en_pd_ctp_phase2,all_phase2,50,50,lr,c1,0.8048780487804879,0.7486035253227408,0.7470775114894667,0.6320754716981132,0.8651315789473685,0.6203703703703703,0.8478152929493545,0.7472225582435235
language_en_pd_ctp_phase2,rich_universal,50,50,lr,c1,0.802439024390244,0.7285253227408143,0.7348524163479733,0.5754716981132075,0.881578947368421,0.6288659793814433,0.8117552135054619,0.7235356770567158
language_en_pd_ctp_phase2,semantic_plus_pause,50,49,rf,n200,0.8,0.6654357000993049,0.6875,0.3867924528301887,0.944078947368421,0.7068965517241379,0.7980852780536245,0.6086140609349121
language_en_pd_ctp_phase2,semantic_plus_pause,100,49,rf,n200,0.8,0.6654357000993049,0.6875,0.3867924528301887,0.944078947368421,0.7068965517241379,0.7980852780536245,0.6086140609349121
language_en_pd_ctp_phase2,rich_universal,100,100,svm,linear_c1,0.7975609756097561,0.7098746276067527,0.7207794871794871,0.5283018867924528,0.8914473684210527,0.6292134831460674,0.7790156405163853,0.6850050180130419
language_en_pd_ctp_phase2,all_phase2,100,100,svm,linear_c1,0.7975609756097561,0.7098746276067527,0.7207794871794871,0.5283018867924528,0.8914473684210527,0.6292134831460674,0.778674280039722,0.6931652277611319
language_en_pd_ctp_phase2,phase1_universal,50,50,lr,c1,0.7951219512195122,0.7389523336643495,0.736019131714496,0.6226415094339622,0.8552631578947368,0.6,0.8310265640516385,0.7393046051125609
language_en_pd_ctp_phase2,all_phase2,100,100,lr,c1,0.7951219512195122,0.7266633565044687,0.729449472096531,0.5849056603773585,0.868421052631579,0.6078431372549019,0.8108552631578947,0.7190808017240912
