feature_name,f_score,p_value
pause_medium_count,2.576612425272009,0.10862284267379513
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,2.41914422356526,0.12003006189411695
ac_egemaps_alpharatiouv_sma3nz_amean,2.360748015753494,0.12459214095424062
ac_egemaps_hammarbergindexuv_sma3nz_amean,2.2328346168716937,0.1352749468614142
ac_mfcc_1_std,2.18689488066914,0.13935853975622464
ac_egemaps_spectralflux_sma3_stddevnorm,2.146506228188559,0.143063286990611
ac_egemaps_stddevunvoicedsegmentlength,2.054304606666215,0.15194414724969155
ac_egemaps_loudnesspeakspersec,1.9483038714836443,0.16293588295614173
ac_egemaps_jitterlocal_sma3nz_stddevnorm,1.911482067737674,0.16696424857890618
ac_egemaps_f3amplitudelogrelf0_sma3nz_amean,1.8749946105635633,0.17106900081751453
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,1.8386235151370576,0.17527651679808143
ac_egemaps_f2amplitudelogrelf0_sma3nz_amean,1.6943793126281674,0.19318544262895718
disc_immediate_repetition_count,1.6600475702542374,0.19775671506850198
ac_egemaps_f2bandwidth_sma3nz_stddevnorm,1.598533350980555,0.20626916346539662
ac_egemaps_loudness_sma3_pctlrange0_2,1.5433749987686525,0.214272328812276
pause_total_duration,1.5238067806323945,0.21719983551799063
ac_egemaps_logrelf0_h1_h2_sma3nz_stddevnorm,1.504664426931421,0.2201098930139592
ac_egemaps_slopev500_1500_sma3nz_amean,1.493175706114082,0.22187880570531507
lex_honore,1.4628972815332812,0.22662298990848356
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,1.4370264221938727,0.2307734314270468
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,1.4248567196531006,0.2327574742164173
disc_mean_pairwise_utt_similarity,1.4209201435418943,0.23340366573160948
ac_egemaps_f1amplitudelogrelf0_sma3nz_amean,1.4190674167027426,0.2337085425518677
ac_egemaps_equivalentsoundlevel_dbp,1.3899369808627156,0.23856612634724375
ac_egemaps_jitterlocal_sma3nz_amean,1.3691684739150543,0.2421043064580685
ac_egemaps_mfcc1_sma3_amean,1.3566296707818983,0.24427140505876394
ac_mfcc_5_mean,1.3178851012166926,0.2511191912422432
ac_egemaps_f1frequency_sma3nz_amean,1.3097320882429542,0.25259002241752254
syn_content_function_ratio,1.2468262897254732,0.264303341366837
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,1.2200949234280198,0.26948450863035645
ac_egemaps_meanunvoicedsegmentlength,1.2185233081240496,0.2697930520028253
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,1.1780914212838156,0.2778851639974864
syn_noun_ratio,1.1592953734681186,0.2817509770084826
lex_mattr_10,1.1455048177972902,0.2846306217602245
syn_open_closed_ratio,1.1309574447545379,0.28770888111950577
ac_egemaps_loudness_sma3_meanrisingslope,1.0706620090518741,0.30093011002927395
