run_name,subset_name,top_k,num_selected_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_en_cookie_theft_clean_phase2,rich_universal,100,100,svm,linear_c1,0.7149134143189455,0.7308992562542258,0.5188679245283019,0.910958904109589,0.6790123456790124,0.7808219178082192,0.6932537372415106,0.8065326633165829
language_en_cookie_theft_clean_phase2,all_phase2,50,50,lr,c1,0.743247609201344,0.7461734693877551,0.6132075471698113,0.8732876712328768,0.6372549019607843,0.8273455673300595,0.7440036906996655,0.8040201005025126
language_en_cookie_theft_clean_phase2,phase1_universal,50,50,lr,c1,0.7445399327991729,0.7452748410094382,0.6226415094339622,0.8664383561643836,0.6285714285714286,0.8227578185577669,0.7386991449500009,0.8015075376884422
language_en_cookie_theft_clean_phase2,semantic_plus_pause,50,41,rf,n200,0.6664189713104162,0.6895629078917489,0.3773584905660377,0.9554794520547946,0.7547169811320755,0.7832934866890671,0.6095784899175923,0.8015075376884422
language_en_cookie_theft_clean_phase2,semantic_plus_pause,100,41,rf,n200,0.6664189713104162,0.6895629078917489,0.3773584905660377,0.9554794520547946,0.7547169811320755,0.7832934866890671,0.6095784899175923,0.8015075376884422
language_en_cookie_theft_clean_phase2,rich_universal,50,50,lr,c1,0.7260920134401654,0.7321958148846559,0.5754716981132075,0.8767123287671232,0.6288659793814433,0.8153269578702507,0.7294085067691571,0.7964824120603015
language_en_cookie_theft_clean_phase2,phase1_universal,100,100,lr,c1,0.7286766606358233,0.7307369399183261,0.5943396226415094,0.863013698630137,0.6116504854368932,0.8247609201344017,0.7371884849605186,0.7914572864321608
language_en_cookie_theft_clean_phase2,all_phase2,100,100,lr,c1,0.7192426983716722,0.7225297933941914,0.5754716981132075,0.863013698630137,0.6039603960396039,0.7990113724476607,0.7113904836332835,0.7864321608040201
language_en_cookie_theft_clean_phase2,rich_universal,100,100,lr,c1,0.7201150168002068,0.7187911487940393,0.5943396226415094,0.8458904109589042,0.5833333333333334,0.7972344275006461,0.7079913366560259,0.7788944723618091
language_en_cookie_theft_clean_phase2,phase1_universal,100,100,dt,depth20,0.7003747738433703,0.7057460188238812,0.5377358490566038,0.863013698630137,0.5876288659793815,0.7001647712587231,0.4441524745919076,0.7763819095477387
language_en_cookie_theft_clean_phase2,all_phase2,100,100,dt,depth20,0.7059640734039804,0.7065824117956819,0.5660377358490566,0.8458904109589042,0.5714285714285714,0.7059640734039803,0.4390280242181256,0.7713567839195979
language_en_cookie_theft_clean_phase2,rich_universal,50,50,dt,depth20,0.6875161540449728,0.6925211207934938,0.5188679245283019,0.8561643835616438,0.5670103092783505,0.6875161540449728,0.4223441658789962,0.7663316582914573
language_en_cookie_theft_clean_phase2,task_specific_semantic,50,20,rf,n200,0.6136921685189971,0.6252804487179487,0.2924528301886792,0.934931506849315,0.62,0.7432637632463169,0.5297093764731586,0.7638190954773869
