language_code,language,seed,ranking_method,top_k,num_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
es,Spanish,43,anova,10,10,62,25,LR,0.7258064516129032,{'clf__C': 0.1},0.6956521739130435
es,Spanish,43,anova,20,20,62,25,LR,0.7096774193548387,{'clf__C': 0.1},0.6956521739130436
es,Spanish,43,anova,50,50,62,25,LR,0.7096774193548387,{'clf__C': 0.1},0.7
es,Spanish,43,anova,100,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
es,Spanish,43,anova,all,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
es,Spanish,43,welch,5,5,62,25,LR,0.6935483870967742,{'clf__C': 1},0.6608695652173913
es,Spanish,43,welch,10,10,62,25,LR,0.6612903225806451,{'clf__C': 0.1},0.6695652173913043
es,Spanish,43,welch,20,20,62,25,LR,0.6290322580645161,{'clf__C': 10},0.6782608695652174
es,Spanish,43,welch,50,50,62,25,LR,0.7096774193548387,{'clf__C': 0.1},0.6434782608695652
es,Spanish,43,welch,100,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
es,Spanish,43,welch,all,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
es,Spanish,43,welch_bonferroni,5,5,62,25,LR,0.6774193548387096,{'clf__C': 1},0.6608695652173913
es,Spanish,43,welch_bonferroni,10,10,62,25,LR,0.6774193548387096,{'clf__C': 0.1},0.6695652173913043
es,Spanish,43,welch_bonferroni,20,20,62,25,LR,0.6935483870967742,{'clf__C': 10},0.6695652173913044
es,Spanish,43,welch_bonferroni,50,50,62,25,LR,0.7096774193548387,{'clf__C': 0.1},0.6434782608695652
es,Spanish,43,welch_bonferroni,100,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
es,Spanish,43,welch_bonferroni,all,69,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.7086956521739131
zh,Chinese,43,anova,5,5,78,45,DT,0.7692307692307693,{'clf__max_depth': 20},0.6089041095890411
zh,Chinese,43,anova,10,10,78,45,RF,0.782051282051282,{'clf__n_estimators': 200},0.6783866057838661
zh,Chinese,43,anova,20,20,78,45,RF,0.8076923076923077,{'clf__n_estimators': 100},0.6867199391171994
zh,Chinese,43,anova,50,50,78,45,SVM,0.8589743589743589,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7004566210045662
zh,Chinese,43,anova,100,100,78,45,LR,0.8974358974358975,{'clf__C': 1},0.7198630136986301
zh,Chinese,43,anova,all,192,78,45,RF,0.8846153846153846,{'clf__n_estimators': 50},0.667351598173516
zh,Chinese,43,welch,5,5,78,45,RF,0.7692307692307693,{'clf__n_estimators': 200},0.6173515981735159
zh,Chinese,43,welch,10,10,78,45,SVM,0.8205128205128205,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.658675799086758
zh,Chinese,43,welch,20,20,78,45,SVM,0.8846153846153846,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6561263318112633
zh,Chinese,43,welch,50,50,78,45,LR,0.8846153846153846,{'clf__C': 10},0.728310502283105
zh,Chinese,43,welch,100,100,78,45,RF,0.8589743589743589,{'clf__n_estimators': 200},0.7006468797564688
zh,Chinese,43,welch,all,192,78,45,RF,0.8846153846153846,{'clf__n_estimators': 50},0.667351598173516
zh,Chinese,43,welch_bonferroni,5,5,78,45,RF,0.7692307692307693,{'clf__n_estimators': 100},0.6146118721461187
zh,Chinese,43,welch_bonferroni,10,10,78,45,RF,0.8076923076923077,{'clf__n_estimators': 50},0.6367199391171994
zh,Chinese,43,welch_bonferroni,20,20,78,45,SVM,0.8717948717948718,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6644596651445965
zh,Chinese,43,welch_bonferroni,50,50,78,45,LR,0.8846153846153846,{'clf__C': 10},0.7172374429223745
zh,Chinese,43,welch_bonferroni,100,100,78,45,SVM,0.8589743589743589,"{'clf__C': 0.1, 'clf__kernel': 'linear'}",0.7031202435312023
zh,Chinese,43,welch_bonferroni,all,192,78,45,RF,0.8846153846153846,{'clf__n_estimators': 50},0.667351598173516
el,Greek,43,anova,5,5,43,29,LR,0.7441860465116279,{'clf__C': 10},0.691764705882353
el,Greek,43,anova,10,10,43,29,SVM,0.813953488372093,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6848739495798319
el,Greek,43,anova,20,20,43,29,RF,0.7906976744186046,{'clf__n_estimators': 100},0.7731092436974789
el,Greek,43,anova,50,50,43,29,RF,0.7906976744186046,{'clf__n_estimators': 50},0.7273949579831933
el,Greek,43,anova,100,100,43,29,RF,0.7674418604651163,{'clf__n_estimators': 100},0.7389915966386555
el,Greek,43,anova,all,192,43,29,LR,0.7674418604651163,{'clf__C': 0.1},0.6857142857142857
el,Greek,43,welch,5,5,43,29,RF,0.6976744186046512,{'clf__n_estimators': 200},0.7035294117647058
el,Greek,43,welch,10,10,43,29,RF,0.6744186046511628,{'clf__n_estimators': 50},0.7327731092436973
el,Greek,43,welch,20,20,43,29,RF,0.6744186046511628,{'clf__n_estimators': 100},0.7213445378151261
el,Greek,43,welch,50,50,43,29,SVM,0.6976744186046512,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7157983193277311
el,Greek,43,welch,100,100,43,29,SVM,0.813953488372093,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.6919327731092437
el,Greek,43,welch,all,192,43,29,LR,0.7674418604651163,{'clf__C': 0.1},0.6857142857142857
el,Greek,43,welch_bonferroni,5,5,43,29,RF,0.6976744186046512,{'clf__n_estimators': 200},0.7035294117647058
el,Greek,43,welch_bonferroni,10,10,43,29,RF,0.6744186046511628,{'clf__n_estimators': 50},0.7327731092436973
el,Greek,43,welch_bonferroni,20,20,43,29,RF,0.6511627906976745,{'clf__n_estimators': 100},0.7447058823529411
el,Greek,43,welch_bonferroni,50,50,43,29,RF,0.6976744186046512,{'clf__n_estimators': 100},0.7739495798319329
el,Greek,43,welch_bonferroni,100,100,43,29,SVM,0.813953488372093,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7090756302521009
el,Greek,43,welch_bonferroni,all,192,43,29,LR,0.7674418604651163,{'clf__C': 0.1},0.6857142857142857
en,English,44,anova,5,5,446,381,RF,0.7959641255605381,{'clf__n_estimators': 100},0.8013234530475909
en,English,44,anova,10,10,446,381,RF,0.8228699551569507,{'clf__n_estimators': 100},0.8235470787194925
en,English,44,anova,20,20,446,381,RF,0.8071748878923767,{'clf__n_estimators': 100},0.8103111447939033
en,English,44,anova,50,50,446,381,RF,0.8318385650224215,{'clf__n_estimators': 200},0.8246066832273728
en,English,44,anova,100,100,446,381,RF,0.827354260089686,{'clf__n_estimators': 50},0.7923301475025613
en,English,44,anova,all,193,446,381,RF,0.8295964125560538,{'clf__n_estimators': 50},0.7806857255133117
en,English,44,welch,5,5,446,381,RF,0.804932735426009,{'clf__n_estimators': 100},0.80026525198939
en,English,44,welch,10,10,446,381,LR,0.7982062780269058,{'clf__C': 1},0.7886250403491784
en,English,44,welch,20,20,446,381,RF,0.8161434977578476,{'clf__n_estimators': 100},0.8050117188048223
en,English,44,welch,50,50,446,381,RF,0.8251121076233184,{'clf__n_estimators': 100},0.8087280535556397
en,English,44,welch,100,70,446,381,RF,0.8251121076233184,{'clf__n_estimators': 100},0.8193100641376503
en,English,44,welch,all,193,446,381,RF,0.8295964125560538,{'clf__n_estimators': 50},0.7806857255133117
en,English,44,welch_bonferroni,5,5,446,381,LR,0.7982062780269058,{'clf__C': 1},0.7859795377036757
en,English,44,welch_bonferroni,10,10,446,381,LR,0.8183856502242153,{'clf__C': 10},0.7970906488147869
en,English,44,welch_bonferroni,20,20,446,381,LR,0.8183856502242153,{'clf__C': 0.1},0.8034412586136724
en,English,44,welch_bonferroni,50,50,446,381,LR,0.8251121076233184,{'clf__C': 0.1},0.8097932718622374
en,English,44,welch_bonferroni,100,70,446,381,LR,0.8228699551569507,{'clf__C': 10},0.8124401779574193
en,English,44,welch_bonferroni,all,193,446,381,RF,0.8295964125560538,{'clf__n_estimators': 50},0.7806857255133117
es,Spanish,44,anova,5,5,67,25,LR,0.7611940298507462,{'clf__C': 0.1},0.7066666666666668
es,Spanish,44,anova,10,10,67,25,RF,0.7164179104477612,{'clf__n_estimators': 200},0.7111111111111111
es,Spanish,44,anova,20,20,67,25,LR,0.7164179104477612,{'clf__C': 0.1},0.6977777777777778
es,Spanish,44,anova,50,50,67,25,LR,0.7313432835820896,{'clf__C': 0.1},0.711111111111111
es,Spanish,44,anova,100,69,67,25,RF,0.746268656716418,{'clf__n_estimators': 200},0.6977777777777778
es,Spanish,44,anova,all,69,67,25,LR,0.7313432835820896,{'clf__C': 1},0.7333333333333334
es,Spanish,44,welch,5,5,67,25,LR,0.7313432835820896,{'clf__C': 0.1},0.6577777777777778
es,Spanish,44,welch,10,10,67,25,LR,0.7611940298507462,{'clf__C': 10},0.6977777777777778
es,Spanish,44,welch,20,20,67,25,LR,0.7164179104477612,{'clf__C': 1},0.6755555555555556
es,Spanish,44,welch,50,50,67,25,LR,0.7014925373134329,{'clf__C': 1},0.7155555555555556
es,Spanish,44,welch,100,69,67,25,LR,0.7313432835820896,{'clf__C': 1},0.7333333333333334
es,Spanish,44,welch,all,69,67,25,LR,0.7313432835820896,{'clf__C': 1},0.7333333333333334
es,Spanish,44,welch_bonferroni,5,5,67,25,LR,0.7313432835820896,{'clf__C': 0.1},0.6577777777777778
es,Spanish,44,welch_bonferroni,10,10,67,25,LR,0.7313432835820896,{'clf__C': 1},0.6933333333333334
es,Spanish,44,welch_bonferroni,20,20,67,25,LR,0.7014925373134329,{'clf__C': 1},0.7022222222222222
es,Spanish,44,welch_bonferroni,50,50,67,25,LR,0.7014925373134329,{'clf__C': 1},0.7155555555555556
es,Spanish,44,welch_bonferroni,100,69,67,25,LR,0.7313432835820896,{'clf__C': 1},0.7333333333333334
es,Spanish,44,welch_bonferroni,all,69,67,25,LR,0.7313432835820896,{'clf__C': 1},0.7333333333333334
zh,Chinese,44,anova,5,5,76,45,RF,0.7105263157894737,{'clf__n_estimators': 100},0.6884322678843227
zh,Chinese,44,anova,10,10,76,45,RF,0.7105263157894737,{'clf__n_estimators': 100},0.7435312024353121
zh,Chinese,44,anova,20,20,76,45,RF,0.8157894736842105,{'clf__n_estimators': 100},0.7408295281582953
zh,Chinese,44,anova,50,50,76,45,RF,0.868421052631579,{'clf__n_estimators': 200},0.754566210045662
zh,Chinese,44,anova,100,100,76,45,RF,0.8552631578947368,{'clf__n_estimators': 200},0.7132039573820397
zh,Chinese,44,anova,all,192,76,45,RF,0.868421052631579,{'clf__n_estimators': 200},0.7077625570776255
zh,Chinese,44,welch,5,5,76,45,DT,0.7236842105263158,{'clf__max_depth': 20},0.619558599695586
zh,Chinese,44,welch,10,10,76,45,RF,0.75,{'clf__n_estimators': 50},0.6524353120243532
zh,Chinese,44,welch,20,20,76,45,RF,0.8026315789473685,{'clf__n_estimators': 50},0.6745433789954337
zh,Chinese,44,welch,50,50,76,45,SVM,0.868421052631579,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7185692541856925
zh,Chinese,44,welch,100,100,76,45,RF,0.868421052631579,{'clf__n_estimators': 100},0.7159436834094369
zh,Chinese,44,welch,all,192,76,45,RF,0.868421052631579,{'clf__n_estimators': 200},0.7077625570776255
zh,Chinese,44,welch_bonferroni,5,5,76,45,RF,0.7631578947368421,{'clf__n_estimators': 100},0.6579147640791476
zh,Chinese,44,welch_bonferroni,10,10,76,45,RF,0.8026315789473685,{'clf__n_estimators': 200},0.6468036529680365
zh,Chinese,44,welch_bonferroni,20,20,76,45,RF,0.8157894736842105,{'clf__n_estimators': 50},0.6550989345509893
zh,Chinese,44,welch_bonferroni,50,50,76,45,RF,0.8552631578947368,{'clf__n_estimators': 100},0.7131278538812786
zh,Chinese,44,welch_bonferroni,100,100,76,45,LR,0.8421052631578947,{'clf__C': 1},0.7350076103500761
zh,Chinese,44,welch_bonferroni,all,192,76,45,RF,0.868421052631579,{'clf__n_estimators': 200},0.7077625570776255
el,Greek,44,anova,5,5,52,29,DT,0.6730769230769231,{'clf__max_depth': 10},0.6492424242424242
