run_name,subset,top_k,num_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,language_code,language,ranking_method,ranking_description,tested_features,bonferroni_significant_features,fdr_significant_features
language_es_all_rich,all_universal,10,10,svm,rbf_c1,0.7868852459016393,0.7680878552971576,0.7550200803212852,0.7222222222222222,0.813953488372093,0.6190476190476191,0.7674418604651163,0.5363519806250073,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,100,69,svm,rbf_c1,0.7704918032786885,0.7564599483204134,0.7396341463414634,0.7222222222222222,0.7906976744186046,0.5909090909090909,0.8074935400516796,0.6938404880175223,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,all,69,svm,rbf_c1,0.7704918032786885,0.7564599483204134,0.7396341463414634,0.7222222222222222,0.7906976744186046,0.5909090909090909,0.8074935400516796,0.6938404880175223,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,5,5,rf,n200,0.7704918032786885,0.6918604651162791,0.7034722222222223,0.5,0.8837209302325582,0.6428571428571429,0.7571059431524547,0.689614620258878,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,20,20,svm,rbf_c1,0.7540983606557377,0.7286821705426356,0.7173308619091752,0.6666666666666666,0.7906976744186046,0.5714285714285714,0.7816537467700259,0.548811445485481,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,5,5,dt,depth20,0.7540983606557377,0.6802325581395349,0.6884576098059244,0.5,0.8604651162790697,0.6,0.6802325581395349,0.4475409836065573,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,50,50,svm,rbf_c1,0.7377049180327869,0.7170542635658914,0.7024390243902439,0.6666666666666666,0.7674418604651163,0.5454545454545454,0.7881136950904393,0.588683375893997,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,5,5,lr,c1,0.7213114754098361,0.7054263565891472,0.68774465522433,0.6666666666666666,0.7441860465116279,0.5217391304347826,0.7790697674418604,0.6615413775664251,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,10,10,svm,linear_c1,0.7213114754098361,0.6892764857881137,0.6796416434970651,0.6111111111111112,0.7674418604651163,0.5238095238095238,0.7377260981912145,0.6034617234215177,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,100,69,lr,c1,0.7049180327868853,0.6776485788113695,0.6652439024390244,0.6111111111111112,0.7441860465116279,0.5,0.6963824289405685,0.6749100942518119,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,all,69,lr,c1,0.7049180327868853,0.6776485788113695,0.6652439024390244,0.6111111111111112,0.7441860465116279,0.5,0.6963824289405685,0.6749100942518119,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,20,20,lr,c1,0.7049180327868853,0.6291989664082687,0.6330213903743316,0.4444444444444444,0.813953488372093,0.5,0.682170542635659,0.5787187479531019,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,20,20,svm,linear_c1,0.7049180327868853,0.6291989664082687,0.6330213903743316,0.4444444444444444,0.813953488372093,0.5,0.582687338501292,0.4917803058420786,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
language_es_all_rich,all_universal,5,5,svm,linear_c1,0.6885245901639344,0.6821705426356589,0.6588166028848985,0.6666666666666666,0.6976744186046512,0.48,0.7984496124031008,0.6927693016221895,es,Spanish,anova,"ANOVA f_classif, ranked by f_score",,,
