language_code,language,seed,ranking_method,top_k,num_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
el,Greek,42,welch_bonferroni,5,5,42,29,RF,0.7380952380952381,{'clf__n_estimators': 200},0.6931092436974791
el,Greek,42,welch_bonferroni,10,10,42,29,LR,0.7380952380952381,{'clf__C': 10},0.6351260504201681
el,Greek,42,welch_bonferroni,20,20,42,29,SVM,0.7380952380952381,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7221848739495799
el,Greek,42,welch_bonferroni,50,50,42,29,RF,0.7380952380952381,{'clf__n_estimators': 50},0.7228571428571429
el,Greek,42,welch_bonferroni,100,100,42,29,RF,0.7142857142857143,{'clf__n_estimators': 50},0.7284033613445379
el,Greek,42,welch_bonferroni,all,192,42,29,RF,0.8095238095238095,{'clf__n_estimators': 50},0.7458823529411764
en,English,43,anova,5,5,462,381,RF,0.8246753246753247,{'clf__n_estimators': 100},0.8049967914438503
en,English,43,anova,10,10,462,381,DT,0.8225108225108225,{'clf__max_depth': 10},0.721625668449198
en,English,43,anova,20,20,462,381,RF,0.8354978354978355,{'clf__n_estimators': 100},0.8097554367201425
en,English,43,anova,50,50,462,381,RF,0.841991341991342,{'clf__n_estimators': 200},0.8268549019607843
en,English,43,anova,100,100,462,381,RF,0.8463203463203464,{'clf__n_estimators': 200},0.7996534759358289
en,English,43,anova,all,193,462,381,RF,0.8463203463203464,{'clf__n_estimators': 200},0.7991201426024955
en,English,43,welch,5,5,462,381,RF,0.8138528138528138,{'clf__n_estimators': 50},0.7847229946524064
en,English,43,welch,10,10,462,381,DT,0.7965367965367965,{'clf__max_depth': 10},0.7264755793226382
en,English,43,welch,20,20,462,381,SVM,0.816017316017316,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7398089126559715
en,English,43,welch,50,50,462,381,RF,0.8441558441558441,{'clf__n_estimators': 200},0.8108434937611408
en,English,43,welch,100,70,462,381,RF,0.8463203463203464,{'clf__n_estimators': 200},0.8289868092691621
en,English,43,welch,all,193,462,381,RF,0.8463203463203464,{'clf__n_estimators': 200},0.7991201426024955
en,English,43,welch_bonferroni,5,5,462,381,SVM,0.7987012987012987,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7013918003565063
en,English,43,welch_bonferroni,10,10,462,381,RF,0.841991341991342,{'clf__n_estimators': 50},0.8070873440285204
en,English,43,welch_bonferroni,20,20,462,381,RF,0.8311688311688312,{'clf__n_estimators': 100},0.8140278074866311
en,English,43,welch_bonferroni,50,50,462,381,RF,0.8398268398268398,{'clf__n_estimators': 100},0.8113796791443851
en,English,43,welch_bonferroni,100,70,462,381,RF,0.8441558441558441,{'clf__n_estimators': 200},0.8263172905525845
en,English,43,welch_bonferroni,all,193,462,381,RF,0.8463203463203464,{'clf__n_estimators': 200},0.7991201426024955
es,Spanish,43,anova,5,5,62,25,RF,0.6774193548387096,{'clf__n_estimators': 100},0.6869565217391305
es,Spanish,43,anova,10,10,62,25,RF,0.7096774193548387,{'clf__n_estimators': 50},0.6652173913043478
es,Spanish,43,anova,20,20,62,25,RF,0.7258064516129032,{'clf__n_estimators': 100},0.6521739130434783
es,Spanish,43,anova,50,50,62,25,DT,0.7258064516129032,{'clf__max_depth': 10},0.5739130434782609
es,Spanish,43,anova,100,69,62,25,RF,0.7258064516129032,{'clf__n_estimators': 100},0.6478260869565219
es,Spanish,43,anova,all,69,62,25,RF,0.7419354838709677,{'clf__n_estimators': 100},0.6565217391304349
es,Spanish,43,welch,5,5,62,25,RF,0.7096774193548387,{'clf__n_estimators': 200},0.6304347826086956
es,Spanish,43,welch,10,10,62,25,RF,0.6451612903225806,{'clf__n_estimators': 200},0.6434782608695652
es,Spanish,43,welch,20,20,62,25,SVM,0.5967741935483871,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.7130434782608696
es,Spanish,43,welch,50,50,62,25,LR,0.6935483870967742,{'clf__C': 0.1},0.5956521739130435
es,Spanish,43,welch,100,69,62,25,RF,0.7096774193548387,{'clf__n_estimators': 50},0.6608695652173913
es,Spanish,43,welch,all,69,62,25,RF,0.7419354838709677,{'clf__n_estimators': 100},0.6565217391304349
es,Spanish,43,welch_bonferroni,5,5,62,25,RF,0.6129032258064516,{'clf__n_estimators': 200},0.6478260869565218
es,Spanish,43,welch_bonferroni,10,10,62,25,RF,0.6290322580645161,{'clf__n_estimators': 50},0.6521739130434783
es,Spanish,43,welch_bonferroni,20,20,62,25,RF,0.6774193548387096,{'clf__n_estimators': 50},0.6608695652173914
es,Spanish,43,welch_bonferroni,50,50,62,25,RF,0.7096774193548387,{'clf__n_estimators': 50},0.6652173913043479
es,Spanish,43,welch_bonferroni,100,69,62,25,RF,0.8225806451612904,{'clf__n_estimators': 50},0.6434782608695653
es,Spanish,43,welch_bonferroni,all,69,62,25,RF,0.7419354838709677,{'clf__n_estimators': 100},0.6565217391304349
zh,Chinese,43,anova,5,5,78,45,RF,0.782051282051282,{'clf__n_estimators': 50},0.6506088280060883
zh,Chinese,43,anova,10,10,78,45,RF,0.8333333333333334,{'clf__n_estimators': 200},0.6894977168949772
zh,Chinese,43,anova,20,20,78,45,RF,0.8333333333333334,{'clf__n_estimators': 100},0.7062024353120244
zh,Chinese,43,anova,50,50,78,45,SVM,0.8589743589743589,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7004566210045662
zh,Chinese,43,anova,100,100,78,45,LR,0.9102564102564102,{'clf__C': 1},0.7060121765601217
zh,Chinese,43,anova,all,192,78,45,RF,0.8717948717948718,{'clf__n_estimators': 200},0.6867199391171994
zh,Chinese,43,welch,5,5,78,45,RF,0.717948717948718,{'clf__n_estimators': 100},0.622945205479452
zh,Chinese,43,welch,10,10,78,45,SVM,0.8205128205128205,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.658675799086758
zh,Chinese,43,welch,20,20,78,45,SVM,0.8846153846153846,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6561263318112633
zh,Chinese,43,welch,50,50,78,45,RF,0.8589743589743589,{'clf__n_estimators': 50},0.7200532724505327
zh,Chinese,43,welch,100,100,78,45,DT,0.8717948717948718,{'clf__max_depth': 20},0.7060502283105022
zh,Chinese,43,welch,all,192,78,45,RF,0.8717948717948718,{'clf__n_estimators': 200},0.6867199391171994
zh,Chinese,43,welch_bonferroni,5,5,78,45,RF,0.7692307692307693,{'clf__n_estimators': 50},0.6340182648401826
zh,Chinese,43,welch_bonferroni,10,10,78,45,RF,0.7948717948717948,{'clf__n_estimators': 50},0.6422374429223744
zh,Chinese,43,welch_bonferroni,20,20,78,45,SVM,0.8717948717948718,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6644596651445965
zh,Chinese,43,welch_bonferroni,50,50,78,45,RF,0.8717948717948718,{'clf__n_estimators': 200},0.7311643835616438
zh,Chinese,43,welch_bonferroni,100,100,78,45,RF,0.8589743589743589,{'clf__n_estimators': 200},0.7144977168949772
zh,Chinese,43,welch_bonferroni,all,192,78,45,RF,0.8717948717948718,{'clf__n_estimators': 200},0.6867199391171994
el,Greek,43,anova,5,5,43,29,SVM,0.7441860465116279,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.6448739495798319
el,Greek,43,anova,10,10,43,29,SVM,0.813953488372093,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6848739495798319
el,Greek,43,anova,20,20,43,29,SVM,0.7674418604651163,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7670588235294119
el,Greek,43,anova,50,50,43,29,RF,0.7674418604651163,{'clf__n_estimators': 200},0.7104201680672271
el,Greek,43,anova,100,100,43,29,RF,0.7674418604651163,{'clf__n_estimators': 200},0.7507563025210084
el,Greek,43,anova,all,192,43,29,RF,0.7906976744186046,{'clf__n_estimators': 200},0.733109243697479
el,Greek,43,welch,5,5,43,29,RF,0.6976744186046512,{'clf__n_estimators': 100},0.6978151260504202
el,Greek,43,welch,10,10,43,29,SVM,0.6744186046511628,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7272268907563025
el,Greek,43,welch,20,20,43,29,RF,0.6744186046511628,{'clf__n_estimators': 200},0.7391596638655462
el,Greek,43,welch,50,50,43,29,RF,0.7441860465116279,{'clf__n_estimators': 200},0.7510924369747899
el,Greek,43,welch,100,100,43,29,SVM,0.813953488372093,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.6919327731092437
el,Greek,43,welch,all,192,43,29,RF,0.7906976744186046,{'clf__n_estimators': 200},0.733109243697479
el,Greek,43,welch_bonferroni,5,5,43,29,RF,0.6976744186046512,{'clf__n_estimators': 100},0.6978151260504202
el,Greek,43,welch_bonferroni,10,10,43,29,SVM,0.6744186046511628,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7272268907563025
el,Greek,43,welch_bonferroni,20,20,43,29,SVM,0.627906976744186,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7566386554621849
el,Greek,43,welch_bonferroni,50,50,43,29,RF,0.6976744186046512,{'clf__n_estimators': 50},0.7561344537815127
el,Greek,43,welch_bonferroni,100,100,43,29,SVM,0.813953488372093,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7090756302521009
el,Greek,43,welch_bonferroni,all,192,43,29,RF,0.7906976744186046,{'clf__n_estimators': 200},0.733109243697479
en,English,44,anova,5,5,446,381,RF,0.7892376681614349,{'clf__n_estimators': 50},0.8034398551639932
en,English,44,anova,10,10,446,381,DT,0.7556053811659192,{'clf__max_depth': 10},0.7515487067211206
en,English,44,anova,20,20,446,381,RF,0.8004484304932735,{'clf__n_estimators': 100},0.8134815376194687
en,English,44,anova,50,50,446,381,RF,0.8295964125560538,{'clf__n_estimators': 200},0.8351886938093834
en,English,44,anova,100,100,446,381,RF,0.827354260089686,{'clf__n_estimators': 200},0.805559064179754
en,English,44,anova,all,193,446,381,RF,0.8251121076233184,{'clf__n_estimators': 50},0.8029149649839304
en,English,44,welch,5,5,446,381,RF,0.8026905829596412,{'clf__n_estimators': 200},0.8013234530475911
en,English,44,welch,10,10,446,381,SVM,0.7937219730941704,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7346567863809244
en,English,44,welch,20,20,446,381,RF,0.8183856502242153,{'clf__n_estimators': 100},0.8060685164133441
en,English,44,welch,50,50,446,381,RF,0.820627802690583,{'clf__n_estimators': 100},0.8208973657249519
en,English,44,welch,100,70,446,381,RF,0.827354260089686,{'clf__n_estimators': 200},0.8330722916929814
en,English,44,welch,all,193,446,381,RF,0.8251121076233184,{'clf__n_estimators': 50},0.8029149649839304
en,English,44,welch_bonferroni,5,5,446,381,SVM,0.7645739910313901,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.73519571105778
en,English,44,welch_bonferroni,10,10,446,381,RF,0.8116591928251121,{'clf__n_estimators': 100},0.8193100641376503
en,English,44,welch_bonferroni,20,20,446,381,RF,0.8251121076233184,{'clf__n_estimators': 100},0.8214208524553352
en,English,44,welch_bonferroni,50,50,446,381,RF,0.8183856502242153,{'clf__n_estimators': 100},0.818254669978808
en,English,44,welch_bonferroni,100,70,446,381,RF,0.8318385650224215,{'clf__n_estimators': 200},0.8341276858518238
en,English,44,welch_bonferroni,all,193,446,381,RF,0.8251121076233184,{'clf__n_estimators': 50},0.8029149649839304
es,Spanish,44,anova,5,5,67,25,LR,0.7761194029850746,{'clf__C': 0.1},0.6533333333333333
es,Spanish,44,anova,10,10,67,25,LR,0.746268656716418,{'clf__C': 0.1},0.6533333333333333
es,Spanish,44,anova,20,20,67,25,DT,0.7164179104477612,{'clf__max_depth': 10},0.5955555555555555
es,Spanish,44,anova,50,50,67,25,RF,0.6865671641791045,{'clf__n_estimators': 50},0.6844444444444444
es,Spanish,44,anova,100,69,67,25,SVM,0.7164179104477612,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7644444444444445
es,Spanish,44,anova,all,69,67,25,RF,0.746268656716418,{'clf__n_estimators': 100},0.6666666666666666
es,Spanish,44,welch,5,5,67,25,SVM,0.6716417910447762,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.68
es,Spanish,44,welch,10,10,67,25,LR,0.6567164179104478,{'clf__C': 0.1},0.6577777777777778
es,Spanish,44,welch,20,20,67,25,SVM,0.6417910447761194,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.6888888888888889
es,Spanish,44,welch,50,50,67,25,LR,0.746268656716418,{'clf__C': 0.1},0.6444444444444444
es,Spanish,44,welch,100,69,67,25,RF,0.7611940298507462,{'clf__n_estimators': 50},0.6799999999999999
es,Spanish,44,welch,all,69,67,25,RF,0.746268656716418,{'clf__n_estimators': 100},0.6666666666666666
es,Spanish,44,welch_bonferroni,5,5,67,25,SVM,0.6716417910447762,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.68
es,Spanish,44,welch_bonferroni,10,10,67,25,SVM,0.7313432835820896,"{'clf__C': 0.1, 'clf__kernel': 'rbf'}",0.6799999999999999
es,Spanish,44,welch_bonferroni,20,20,67,25,LR,0.6567164179104478,{'clf__C': 1},0.6488888888888888
es,Spanish,44,welch_bonferroni,50,50,67,25,LR,0.746268656716418,{'clf__C': 0.1},0.6444444444444444
es,Spanish,44,welch_bonferroni,100,69,67,25,RF,0.7313432835820896,{'clf__n_estimators': 50},0.6888888888888889
es,Spanish,44,welch_bonferroni,all,69,67,25,RF,0.746268656716418,{'clf__n_estimators': 100},0.6666666666666666
zh,Chinese,44,anova,5,5,76,45,RF,0.6578947368421053,{'clf__n_estimators': 100},0.6745053272450532
zh,Chinese,44,anova,10,10,76,45,RF,0.7105263157894737,{'clf__n_estimators': 100},0.7462709284627093
zh,Chinese,44,anova,20,20,76,45,RF,0.8026315789473685,{'clf__n_estimators': 200},0.7297945205479452
zh,Chinese,44,anova,50,50,76,45,RF,0.868421052631579,{'clf__n_estimators': 200},0.7601598173515981
zh,Chinese,44,anova,100,100,76,45,RF,0.8421052631578947,{'clf__n_estimators': 200},0.732496194824962
zh,Chinese,44,anova,all,192,76,45,RF,0.8421052631578947,{'clf__n_estimators': 100},0.7132420091324201
zh,Chinese,44,welch,5,5,76,45,DT,0.75,{'clf__max_depth': 20},0.5834855403348553
zh,Chinese,44,welch,10,10,76,45,RF,0.7236842105263158,{'clf__n_estimators': 50},0.6384703196347032
zh,Chinese,44,welch,20,20,76,45,RF,0.7894736842105263,{'clf__n_estimators': 100},0.66324200913242
zh,Chinese,44,welch,50,50,76,45,SVM,0.868421052631579,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7185692541856925
zh,Chinese,44,welch,100,100,76,45,RF,0.8289473684210527,{'clf__n_estimators': 200},0.7270167427701675
zh,Chinese,44,welch,all,192,76,45,RF,0.8421052631578947,{'clf__n_estimators': 100},0.7132420091324201
zh,Chinese,44,welch_bonferroni,5,5,76,45,RF,0.6973684210526315,{'clf__n_estimators': 100},0.6329528158295281
zh,Chinese,44,welch_bonferroni,10,10,76,45,RF,0.7894736842105263,{'clf__n_estimators': 200},0.6273972602739726
zh,Chinese,44,welch_bonferroni,20,20,76,45,SVM,0.7763157894736842,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6741628614916285
zh,Chinese,44,welch_bonferroni,50,50,76,45,RF,0.8157894736842105,{'clf__n_estimators': 100},0.7297564687975646
zh,Chinese,44,welch_bonferroni,100,100,76,45,RF,0.8289473684210527,{'clf__n_estimators': 100},0.7187214611872145
zh,Chinese,44,welch_bonferroni,all,192,76,45,RF,0.8421052631578947,{'clf__n_estimators': 100},0.7132420091324201
el,Greek,44,anova,5,5,52,29,DT,0.6153846153846154,{'clf__max_depth': 10},0.6558712121212121
el,Greek,44,anova,10,10,52,29,RF,0.7115384615384616,{'clf__n_estimators': 200},0.7598484848484849
el,Greek,44,anova,20,20,52,29,RF,0.75,{'clf__n_estimators': 200},0.6982954545454546
el,Greek,44,anova,50,50,52,29,RF,0.8269230769230769,{'clf__n_estimators': 100},0.7350378787878789
el,Greek,44,anova,100,100,52,29,RF,0.7307692307692307,{'clf__n_estimators': 50},0.7473484848484848
el,Greek,44,anova,all,192,52,29,RF,0.8076923076923077,{'clf__n_estimators': 100},0.6804924242424243
el,Greek,44,welch,5,5,52,29,RF,0.7307692307692307,{'clf__n_estimators': 100},0.6617424242424242
el,Greek,44,welch,10,10,52,29,RF,0.7692307692307693,{'clf__n_estimators': 200},0.6619318181818181
el,Greek,44,welch,20,20,52,29,RF,0.7307692307692307,{'clf__n_estimators': 50},0.6566287878787879
el,Greek,44,welch,50,50,52,29,DT,0.7884615384615384,{'clf__max_depth': 10},0.65
el,Greek,44,welch,100,100,52,29,RF,0.7692307692307693,{'clf__n_estimators': 100},0.6990530303030302
el,Greek,44,welch,all,192,52,29,RF,0.8076923076923077,{'clf__n_estimators': 100},0.6804924242424243
el,Greek,44,welch_bonferroni,5,5,52,29,RF,0.7307692307692307,{'clf__n_estimators': 100},0.6617424242424242
el,Greek,44,welch_bonferroni,10,10,52,29,RF,0.7692307692307693,{'clf__n_estimators': 200},0.6619318181818181
el,Greek,44,welch_bonferroni,20,20,52,29,RF,0.7307692307692307,{'clf__n_estimators': 50},0.66875
el,Greek,44,welch_bonferroni,50,50,52,29,LR,0.7692307692307693,{'clf__C': 10},0.65
el,Greek,44,welch_bonferroni,100,100,52,29,RF,0.75,{'clf__n_estimators': 200},0.6617424242424242
el,Greek,44,welch_bonferroni,all,192,52,29,RF,0.8076923076923077,{'clf__n_estimators': 100},0.6804924242424243
en,English,45,anova,5,5,472,381,RF,0.8135593220338984,{'clf__n_estimators': 200},0.8023263858860158
en,English,45,anova,10,10,472,381,RF,0.7860169491525424,{'clf__n_estimators': 200},0.7447822076162472
en,English,45,anova,20,20,472,381,RF,0.8029661016949152,{'clf__n_estimators': 100},0.7866758914929806
en,English,45,anova,50,50,472,381,RF,0.8580508474576272,{'clf__n_estimators': 200},0.8280535616477845
en,English,45,anova,100,100,472,381,RF,0.8538135593220338,{'clf__n_estimators': 200},0.7996295655683358
en,English,45,anova,all,193,472,381,RF,0.8559322033898306,{'clf__n_estimators': 200},0.7990948139179567
en,English,45,welch,5,5,472,381,RF,0.8008474576271186,{'clf__n_estimators': 200},0.7894591945573525
en,English,45,welch,10,10,472,381,SVM,0.8029661016949152,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7389676842803194
en,English,45,welch,20,20,472,381,RF,0.8283898305084746,{'clf__n_estimators': 50},0.8081798264579548
en,English,45,welch,50,50,472,381,RF,0.8495762711864406,{'clf__n_estimators': 100},0.8146357634985154
en,English,45,welch,100,70,472,381,RF,0.8559322033898306,{'clf__n_estimators': 200},0.8269782928305804
en,English,45,welch,all,193,472,381,RF,0.8559322033898306,{'clf__n_estimators': 200},0.7990948139179567
en,English,45,welch_bonferroni,5,5,472,381,SVM,0.7754237288135594,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7072847300296925
en,English,45,welch_bonferroni,10,10,472,381,RF,0.8305084745762712,{'clf__n_estimators': 50},0.8049770820721266
en,English,45,welch_bonferroni,20,20,472,381,RF,0.8453389830508474,{'clf__n_estimators': 200},0.8103332468505865
en,English,45,welch_bonferroni,50,50,472,381,RF,0.8538135593220338,{'clf__n_estimators': 100},0.8183934388422843
en,English,45,welch_bonferroni,100,70,472,381,RF,0.8516949152542372,{'clf__n_estimators': 200},0.826434892905532
en,English,45,welch_bonferroni,all,193,472,381,RF,0.8559322033898306,{'clf__n_estimators': 200},0.7990948139179567
es,Spanish,45,anova,5,5,54,25,RF,0.7407407407407407,{'clf__n_estimators': 100},0.6554078014184397
