feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
extended_excluding_task_specific,en,English,43,anova,20,20,382,208,40,462,381,LR,0.8268398268398268,{'clf__C': 0.1},0.7959358288770053
extended_excluding_task_specific,en,English,43,anova,50,50,382,208,40,462,381,RF,0.854978354978355,{'clf__n_estimators': 50},0.809802495543672
extended_excluding_task_specific,en,English,43,anova,100,100,382,208,40,462,381,RF,0.8528138528138528,{'clf__n_estimators': 200},0.782053475935829
extended_excluding_task_specific,en,English,43,anova,all,208,382,208,40,462,381,LR,0.8463203463203464,{'clf__C': 0.1},0.7756663101604279
extended_excluding_task_specific,en,English,43,welch_bonferroni,5,5,382,208,40,462,381,RF,0.829004329004329,{'clf__n_estimators': 50},0.812463458110517
extended_excluding_task_specific,en,English,43,welch_bonferroni,10,10,382,208,40,462,381,RF,0.8376623376623377,{'clf__n_estimators': 200},0.8087344028520498
extended_excluding_task_specific,en,English,43,welch_bonferroni,20,20,382,208,40,462,381,LR,0.8246753246753247,{'clf__C': 1},0.7970053475935829
extended_excluding_task_specific,en,English,43,welch_bonferroni,50,50,382,208,40,462,381,RF,0.8506493506493507,{'clf__n_estimators': 200},0.8028663101604279
extended_excluding_task_specific,en,English,43,welch_bonferroni,100,85,382,208,40,462,381,RF,0.8506493506493507,{'clf__n_estimators': 50},0.798592513368984
extended_excluding_task_specific,en,English,43,welch_bonferroni,all,208,382,208,40,462,381,LR,0.8463203463203464,{'clf__C': 0.1},0.7756663101604279
extended_excluding_task_specific,es,Spanish,43,anova,5,5,382,83,6,62,25,RF,0.6935483870967742,{'clf__n_estimators': 50},0.6782608695652174
extended_excluding_task_specific,es,Spanish,43,anova,10,10,382,83,6,62,25,RF,0.6612903225806451,{'clf__n_estimators': 200},0.6782608695652174
extended_excluding_task_specific,es,Spanish,43,anova,20,20,382,83,6,62,25,LR,0.7096774193548387,{'clf__C': 0.1},0.7086956521739131
extended_excluding_task_specific,es,Spanish,43,anova,50,50,382,83,6,62,25,LR,0.7258064516129032,{'clf__C': 1},0.7
extended_excluding_task_specific,es,Spanish,43,anova,100,83,382,83,6,62,25,SVM,0.7419354838709677,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.691304347826087
extended_excluding_task_specific,es,Spanish,43,anova,all,83,382,83,6,62,25,SVM,0.7419354838709677,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.691304347826087
extended_excluding_task_specific,es,Spanish,43,welch_bonferroni,5,5,382,83,6,62,25,RF,0.7096774193548387,{'clf__n_estimators': 50},0.6695652173913043
extended_excluding_task_specific,es,Spanish,43,welch_bonferroni,10,10,382,83,6,62,25,RF,0.7096774193548387,{'clf__n_estimators': 200},0.691304347826087
extended_excluding_task_specific,es,Spanish,43,welch_bonferroni,20,20,382,83,6,62,25,LR,0.7258064516129032,{'clf__C': 0.1},0.7260869565217392
extended_excluding_task_specific,es,Spanish,43,welch_bonferroni,50,50,382,83,6,62,25,LR,0.7258064516129032,{'clf__C': 1},0.7
extended_excluding_task_specific,es,Spanish,43,welch_bonferroni,100,83,382,83,6,62,25,SVM,0.7419354838709677,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.691304347826087
extended_excluding_task_specific,es,Spanish,43,welch_bonferroni,all,83,382,83,6,62,25,SVM,0.7419354838709677,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.691304347826087
extended_excluding_task_specific,zh,Chinese,43,anova,5,5,382,206,59,78,45,DT,0.7692307692307693,{'clf__max_depth': 20},0.6089041095890411
extended_excluding_task_specific,zh,Chinese,43,anova,10,10,382,206,59,78,45,RF,0.782051282051282,{'clf__n_estimators': 200},0.6783866057838661
extended_excluding_task_specific,zh,Chinese,43,anova,20,20,382,206,59,78,45,RF,0.8076923076923077,{'clf__n_estimators': 200},0.6867199391171994
extended_excluding_task_specific,zh,Chinese,43,anova,50,50,382,206,59,78,45,RF,0.8717948717948718,{'clf__n_estimators': 200},0.7006468797564689
extended_excluding_task_specific,zh,Chinese,43,anova,100,100,382,206,59,78,45,SVM,0.9230769230769232,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.7310882800608829
extended_excluding_task_specific,zh,Chinese,43,anova,all,206,382,206,59,78,45,RF,0.8846153846153846,{'clf__n_estimators': 50},0.6894977168949772
extended_excluding_task_specific,zh,Chinese,43,welch_bonferroni,5,5,382,206,59,78,45,RF,0.7948717948717948,{'clf__n_estimators': 200},0.6644216133942161
extended_excluding_task_specific,zh,Chinese,43,welch_bonferroni,10,10,382,206,59,78,45,RF,0.7692307692307693,{'clf__n_estimators': 200},0.6894977168949772
extended_excluding_task_specific,zh,Chinese,43,welch_bonferroni,20,20,382,206,59,78,45,RF,0.8076923076923077,{'clf__n_estimators': 200},0.6839802130898021
extended_excluding_task_specific,zh,Chinese,43,welch_bonferroni,50,50,382,206,59,78,45,RF,0.9102564102564102,{'clf__n_estimators': 50},0.7006468797564688
extended_excluding_task_specific,zh,Chinese,43,welch_bonferroni,100,100,382,206,59,78,45,LR,0.9230769230769232,{'clf__C': 10},0.7171232876712329
extended_excluding_task_specific,zh,Chinese,43,welch_bonferroni,all,206,382,206,59,78,45,RF,0.8846153846153846,{'clf__n_estimators': 50},0.6894977168949772
extended_excluding_task_specific,el,Greek,43,anova,5,5,382,205,14,43,29,LR,0.7441860465116279,{'clf__C': 10},0.691764705882353
extended_excluding_task_specific,el,Greek,43,anova,10,10,382,205,14,43,29,SVM,0.813953488372093,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6848739495798319
extended_excluding_task_specific,el,Greek,43,anova,20,20,382,205,14,43,29,RF,0.7906976744186046,{'clf__n_estimators': 100},0.7731092436974789
extended_excluding_task_specific,el,Greek,43,anova,50,50,382,205,14,43,29,RF,0.7906976744186046,{'clf__n_estimators': 50},0.7273949579831933
extended_excluding_task_specific,el,Greek,43,anova,100,100,382,205,14,43,29,RF,0.7209302325581395,{'clf__n_estimators': 50},0.7680672268907563
extended_excluding_task_specific,el,Greek,43,anova,all,205,382,205,14,43,29,LR,0.7441860465116279,{'clf__C': 0.1},0.68
extended_excluding_task_specific,el,Greek,43,welch_bonferroni,5,5,382,205,14,43,29,RF,0.7674418604651163,{'clf__n_estimators': 200},0.6858823529411764
extended_excluding_task_specific,el,Greek,43,welch_bonferroni,10,10,382,205,14,43,29,RF,0.7674418604651163,{'clf__n_estimators': 100},0.68
extended_excluding_task_specific,el,Greek,43,welch_bonferroni,20,20,382,205,14,43,29,DT,0.7906976744186046,{'clf__max_depth': 10},0.726890756302521
extended_excluding_task_specific,el,Greek,43,welch_bonferroni,50,50,382,205,14,43,29,DT,0.7674418604651163,{'clf__max_depth': 10},0.6401680672268908
extended_excluding_task_specific,el,Greek,43,welch_bonferroni,100,100,382,205,14,43,29,SVM,0.6976744186046512,"{'clf__C': 1, 'clf__kernel': 'rbf'}",0.7615126050420168
