feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
task_specific_only,en,English,43,welch_bonferroni,5,5,92,43,8,462,381,LR,0.7662337662337663,{'clf__C': 0.1},0.7398331550802139
task_specific_only,en,English,43,welch_bonferroni,10,10,92,43,8,462,381,DT,0.7878787878787878,{'clf__max_depth': 10},0.7281083778966131
task_specific_only,en,English,43,welch_bonferroni,20,20,92,43,8,462,381,RF,0.7922077922077922,{'clf__n_estimators': 200},0.7483921568627452
task_specific_only,en,English,43,welch_bonferroni,50,35,92,43,8,462,381,RF,0.7965367965367965,{'clf__n_estimators': 100},0.7377212121212121
task_specific_only,en,English,43,welch_bonferroni,100,35,92,43,8,462,381,RF,0.7965367965367965,{'clf__n_estimators': 100},0.7377212121212121
task_specific_only,en,English,43,welch_bonferroni,all,43,92,43,8,462,381,RF,0.79004329004329,{'clf__n_estimators': 100},0.7393112299465241
task_specific_only,es,Spanish,43,anova,5,5,92,16,8,62,25,LR,0.7741935483870968,{'clf__C': 0.1},0.7521739130434782
task_specific_only,es,Spanish,43,anova,10,10,92,16,8,62,25,RF,0.7419354838709677,{'clf__n_estimators': 200},0.717391304347826
task_specific_only,es,Spanish,43,anova,20,16,92,16,8,62,25,RF,0.7419354838709677,{'clf__n_estimators': 50},0.7347826086956522
task_specific_only,es,Spanish,43,anova,50,16,92,16,8,62,25,RF,0.7419354838709677,{'clf__n_estimators': 50},0.7347826086956522
task_specific_only,es,Spanish,43,anova,100,16,92,16,8,62,25,RF,0.7419354838709677,{'clf__n_estimators': 50},0.7347826086956522
task_specific_only,es,Spanish,43,anova,all,16,92,16,8,62,25,RF,0.7580645161290323,{'clf__n_estimators': 100},0.7
task_specific_only,es,Spanish,43,welch_bonferroni,5,5,92,16,8,62,25,LR,0.7741935483870968,{'clf__C': 0.1},0.7521739130434782
task_specific_only,es,Spanish,43,welch_bonferroni,10,9,92,16,8,62,25,RF,0.7580645161290323,{'clf__n_estimators': 100},0.7173913043478262
task_specific_only,es,Spanish,43,welch_bonferroni,20,9,92,16,8,62,25,RF,0.7580645161290323,{'clf__n_estimators': 100},0.7173913043478262
task_specific_only,es,Spanish,43,welch_bonferroni,50,9,92,16,8,62,25,RF,0.7580645161290323,{'clf__n_estimators': 100},0.7173913043478262
task_specific_only,es,Spanish,43,welch_bonferroni,100,9,92,16,8,62,25,RF,0.7580645161290323,{'clf__n_estimators': 100},0.7173913043478262
task_specific_only,es,Spanish,43,welch_bonferroni,all,16,92,16,8,62,25,RF,0.7580645161290323,{'clf__n_estimators': 100},0.7
task_specific_only,zh,Chinese,43,anova,5,5,92,19,12,78,45,LR,0.7692307692307693,{'clf__C': 0.1},0.6704337899543378
task_specific_only,zh,Chinese,43,anova,10,10,92,19,12,78,45,RF,0.782051282051282,{'clf__n_estimators': 100},0.6232115677321156
task_specific_only,zh,Chinese,43,anova,20,19,92,19,12,78,45,RF,0.7692307692307693,{'clf__n_estimators': 50},0.6121004566210045
task_specific_only,zh,Chinese,43,anova,50,19,92,19,12,78,45,RF,0.7692307692307693,{'clf__n_estimators': 50},0.6121004566210045
task_specific_only,zh,Chinese,43,anova,100,19,92,19,12,78,45,RF,0.7692307692307693,{'clf__n_estimators': 50},0.6121004566210045
task_specific_only,zh,Chinese,43,anova,all,19,92,19,12,78,45,LR,0.7564102564102564,{'clf__C': 0.1},0.6537671232876712
task_specific_only,zh,Chinese,43,welch_bonferroni,5,5,92,19,12,78,45,LR,0.7692307692307693,{'clf__C': 1},0.6759893455098934
task_specific_only,zh,Chinese,43,welch_bonferroni,10,10,92,19,12,78,45,RF,0.7692307692307693,{'clf__n_estimators': 100},0.6259893455098934
task_specific_only,zh,Chinese,43,welch_bonferroni,20,19,92,19,12,78,45,RF,0.7692307692307693,{'clf__n_estimators': 200},0.6176560121765601
task_specific_only,zh,Chinese,43,welch_bonferroni,50,19,92,19,12,78,45,RF,0.7692307692307693,{'clf__n_estimators': 200},0.6176560121765601
task_specific_only,zh,Chinese,43,welch_bonferroni,100,19,92,19,12,78,45,RF,0.7692307692307693,{'clf__n_estimators': 200},0.6176560121765601
