feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
full_feature_set,es,Spanish,43,welch_bonferroni,all,99,474,99,14,62,25,LR,0.7419354838709677,{'clf__C': 0.1},0.717391304347826
full_feature_set,zh,Chinese,43,anova,5,5,474,225,64,78,45,DT,0.7692307692307693,{'clf__max_depth': 20},0.6089041095890411
full_feature_set,zh,Chinese,43,anova,10,10,474,225,64,78,45,RF,0.782051282051282,{'clf__n_estimators': 200},0.6783866057838661
full_feature_set,zh,Chinese,43,anova,20,20,474,225,64,78,45,RF,0.8076923076923077,{'clf__n_estimators': 200},0.6867199391171994
full_feature_set,zh,Chinese,43,anova,50,50,474,225,64,78,45,RF,0.8717948717948718,{'clf__n_estimators': 200},0.7339802130898021
full_feature_set,zh,Chinese,43,anova,100,100,474,225,64,78,45,SVM,0.8846153846153846,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.7616057838660579
full_feature_set,zh,Chinese,43,anova,all,225,474,225,64,78,45,RF,0.8974358974358975,{'clf__n_estimators': 200},0.6978691019786909
full_feature_set,zh,Chinese,43,welch_bonferroni,5,5,474,225,64,78,45,RF,0.7948717948717948,{'clf__n_estimators': 200},0.6644216133942161
full_feature_set,zh,Chinese,43,welch_bonferroni,10,10,474,225,64,78,45,RF,0.7692307692307693,{'clf__n_estimators': 200},0.6894977168949772
full_feature_set,zh,Chinese,43,welch_bonferroni,20,20,474,225,64,78,45,RF,0.8076923076923077,{'clf__n_estimators': 200},0.6839802130898021
full_feature_set,zh,Chinese,43,welch_bonferroni,50,50,474,225,64,78,45,RF,0.8717948717948718,{'clf__n_estimators': 200},0.7339802130898022
full_feature_set,zh,Chinese,43,welch_bonferroni,100,100,474,225,64,78,45,SVM,0.8974358974358975,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.7670852359208522
full_feature_set,zh,Chinese,43,welch_bonferroni,all,225,474,225,64,78,45,RF,0.8974358974358975,{'clf__n_estimators': 200},0.6978691019786909
full_feature_set,el,Greek,43,anova,5,5,474,258,17,43,29,LR,0.7441860465116279,{'clf__C': 10},0.691764705882353
full_feature_set,el,Greek,43,anova,10,10,474,258,17,43,29,SVM,0.813953488372093,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6848739495798319
full_feature_set,el,Greek,43,anova,20,20,474,258,17,43,29,RF,0.7906976744186046,{'clf__n_estimators': 100},0.7731092436974789
full_feature_set,el,Greek,43,anova,50,50,474,258,17,43,29,RF,0.7441860465116279,{'clf__n_estimators': 100},0.7336134453781513
full_feature_set,el,Greek,43,anova,100,100,474,258,17,43,29,SVM,0.7674418604651163,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7964705882352942
full_feature_set,el,Greek,43,anova,all,258,474,258,17,43,29,RF,0.7674418604651163,{'clf__n_estimators': 200},0.7731092436974791
full_feature_set,el,Greek,43,welch_bonferroni,5,5,474,258,17,43,29,LR,0.7209302325581395,{'clf__C': 0.1},0.6805042016806723
full_feature_set,el,Greek,43,welch_bonferroni,10,10,474,258,17,43,29,SVM,0.7441860465116279,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.6974789915966386
full_feature_set,el,Greek,43,welch_bonferroni,20,20,474,258,17,43,29,DT,0.7906976744186046,{'clf__max_depth': 10},0.6978151260504202
full_feature_set,el,Greek,43,welch_bonferroni,50,50,474,258,17,43,29,RF,0.7441860465116279,{'clf__n_estimators': 100},0.7336134453781513
full_feature_set,el,Greek,43,welch_bonferroni,100,100,474,258,17,43,29,SVM,0.7906976744186046,"{'clf__C': 10, 'clf__kernel': 'rbf'}",0.7847058823529413
