timestamp,smoke,seed,model,pooling,length_mode,training,translated,task,test_language,classifier,actual,predicted,count
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,LR,Dementia,Dementia,5
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,SVM,Dementia,Dementia,5
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,DT,HC,HC,35
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,LR,HC,HC,38
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,RF,Dementia,HC,13
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,DT,Dementia,HC,10
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,RF,HC,Dementia,4
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,DT,Dementia,Dementia,10
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,RF,Dementia,Dementia,7
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,LR,HC,Dementia,1
2026-05-15 21:56:25,False,42,xlm-roberta-base,cls,truncate,mono,no,binary,spa,DT,HC,Dementia,4
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,RF,Dementia,HC,11
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,DT,Dementia,MCI,2
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,RF,Dementia,MCI,0
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,LR,MCI,HC,45
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,DT,MCI,Dementia,5
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,DT,MCI,HC,38
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,RF,MCI,HC,53
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,DT,HC,Dementia,20
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,RF,HC,Dementia,6
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,DT,Dementia,Dementia,35
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,RF,HC,HC,107
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,RF,HC,MCI,18
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,RF,MCI,Dementia,2
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,DT,MCI,MCI,35
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,DT,Dementia,HC,26
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,DT,HC,HC,68
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,RF,Dementia,Dementia,52
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,LR,MCI,MCI,30
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,LR,MCI,Dementia,3
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,SVM,Dementia,HC,0
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,SVM,Dementia,Dementia,63
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,SVM,MCI,HC,0
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,SVM,HC,MCI,0
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,DT,HC,MCI,43
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,LR,HC,Dementia,11
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,SVM,HC,Dementia,131
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,RF,MCI,MCI,23
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,LR,HC,HC,102
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,SVM,MCI,MCI,0
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,LR,HC,MCI,18
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,SVM,HC,HC,0
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,LR,Dementia,Dementia,46
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,LR,Dementia,MCI,3
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,LR,Dementia,HC,14
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,SVM,MCI,Dementia,78
2026-05-15 21:57:56,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,en,SVM,Dementia,MCI,0
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,SVM,HC,Dementia,5
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,LR,Dementia,HC,6
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,LR,Dementia,MCI,0
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,SVM,Dementia,Dementia,15
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,SVM,Dementia,HC,9
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,SVM,Dementia,MCI,2
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,SVM,MCI,Dementia,2
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,SVM,MCI,MCI,7
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,SVM,HC,HC,8
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,LR,HC,Dementia,7
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,LR,Dementia,Dementia,20
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,DT,MCI,MCI,6
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,SVM,HC,MCI,4
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,SVM,MCI,HC,1
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,RF,MCI,MCI,4
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,LR,HC,HC,6
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,LR,HC,MCI,4
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,LR,MCI,Dementia,4
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,DT,HC,HC,6
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,RF,Dementia,HC,2
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,DT,HC,Dementia,7
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,DT,Dementia,MCI,4
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,DT,Dementia,Dementia,13
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,RF,MCI,HC,1
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,RF,HC,MCI,1
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,RF,Dementia,Dementia,23
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,LR,MCI,MCI,5
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,DT,Dementia,HC,9
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,LR,MCI,HC,1
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,DT,HC,MCI,4
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,RF,Dementia,MCI,1
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,RF,HC,Dementia,12
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,RF,MCI,Dementia,5
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,DT,MCI,Dementia,3
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,RF,HC,HC,4
2026-05-15 22:03:22,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,gr,DT,MCI,HC,1
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,RF,HC,Dementia,2
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,DT,HC,Dementia,6
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,DT,Dementia,Dementia,9
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,DT,MCI,HC,18
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,DT,HC,MCI,19
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,DT,Dementia,HC,8
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,RF,MCI,HC,17
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,LR,MCI,MCI,42
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,DT,Dementia,MCI,13
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,RF,Dementia,HC,5
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,DT,MCI,Dementia,9
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,DT,HC,HC,33
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,RF,HC,HC,35
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,RF,HC,MCI,21
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,RF,MCI,Dementia,5
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,RF,Dementia,MCI,12
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,RF,Dementia,Dementia,13
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,LR,MCI,HC,14
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,SVM,MCI,HC,17
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,SVM,Dementia,HC,4
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,LR,MCI,Dementia,9
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,DT,MCI,MCI,38
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,SVM,HC,Dementia,6
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,LR,HC,HC,42
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,LR,HC,MCI,13
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,SVM,HC,MCI,14
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,RF,MCI,MCI,43
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,SVM,MCI,MCI,35
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,SVM,Dementia,MCI,4
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,SVM,MCI,Dementia,13
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,LR,Dementia,MCI,9
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,SVM,Dementia,Dementia,22
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,LR,Dementia,Dementia,18
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,LR,Dementia,HC,3
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,LR,HC,Dementia,3
2026-05-15 22:04:00,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,cha,SVM,HC,HC,38
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,SVM,MCI,Dementia,2
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,SVM,Dementia,HC,9
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,SVM,Dementia,MCI,5
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,SVM,Dementia,Dementia,6
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,LR,MCI,Dementia,0
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,SVM,HC,Dementia,1
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,SVM,MCI,HC,11
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,SVM,HC,HC,30
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,LR,HC,HC,39
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,SVM,MCI,MCI,4
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,DT,HC,MCI,8
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,SVM,HC,MCI,8
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,RF,Dementia,Dementia,8
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,RF,MCI,MCI,1
2026-05-15 22:04:54,False,42,xlm-roberta-base,cls,truncate,mono,no,multiclass,spa,LR,Dementia,MCI,0
