feature_name,feature_group,task_specific,valid_task_types,requires_text,requires_audio,language_dependent_tooling,description
syn_cconj_ratio,syn,False,ALL,1,0,1,syn cconj ratio
syn_sconj_ratio,syn,False,ALL,1,0,1,syn sconj ratio
syn_interjection_ratio,syn,False,ALL,1,0,1,syn interjection ratio
syn_propn_ratio,syn,False,ALL,1,0,1,syn propn ratio
syn_part_ratio,syn,False,ALL,1,0,1,syn part ratio
syn_num_ratio,syn,False,ALL,1,0,1,syn num ratio
syn_noun_verb_ratio,syn,False,ALL,1,0,1,syn noun verb ratio
syn_pronoun_noun_ratio,syn,False,ALL,1,0,1,syn pronoun noun ratio
syn_determiner_noun_ratio,syn,False,ALL,1,0,1,syn determiner noun ratio
syn_aux_verb_ratio,syn,False,ALL,1,0,1,syn aux verb ratio
syn_content_function_ratio,syn,False,ALL,1,0,1,syn content function ratio
syn_open_closed_ratio,syn,False,ALL,1,0,1,syn open closed ratio
syn_clause_density,syn,False,ALL,1,0,1,syn clause density
syn_subordination_ratio,syn,False,ALL,1,0,1,syn subordination ratio
syn_nsubj_ratio,syn,False,ALL,1,0,1,syn nsubj ratio
syn_obj_ratio,syn,False,ALL,1,0,1,syn obj ratio
syn_obl_ratio,syn,False,ALL,1,0,1,syn obl ratio
syn_advmod_ratio,syn,False,ALL,1,0,1,syn advmod ratio
syn_amod_ratio,syn,False,ALL,1,0,1,syn amod ratio
syn_mean_dependency_length,syn,False,ALL,1,0,1,syn mean dependency length
syn_std_dependency_length,syn,False,ALL,1,0,1,syn std dependency length
syn_max_dependency_length,syn,False,ALL,1,0,1,syn max dependency length
syn_mean_tree_depth,syn,False,ALL,1,0,1,syn mean tree depth
syn_max_tree_depth,syn,False,ALL,1,0,1,syn max tree depth
syn_mean_utterance_length_words,syn,False,ALL,1,0,1,syn mean utterance length words
syn_utterance_count,syn,False,ALL,1,0,1,syn utterance count
disc_adjacent_utterance_similarity_mean,disc,False,ALL,1,0,1,disc adjacent utterance similarity mean
disc_adjacent_utterance_similarity_std,disc,False,ALL,1,0,1,disc adjacent utterance similarity std
disc_mean_pairwise_utt_similarity,disc,False,ALL,1,0,1,disc mean pairwise utt similarity
disc_semantic_drift,disc,False,ALL,1,0,1,disc semantic drift
disc_local_coherence,disc,False,ALL,1,0,1,disc local coherence
graph_node_count,graph,False,ALL,1,0,1,graph node count
graph_edge_count,graph,False,ALL,1,0,1,graph edge count
graph_density,graph,False,ALL,1,0,1,graph density
graph_self_loop_ratio,graph,False,ALL,1,0,1,graph self loop ratio
graph_largest_component_ratio,graph,False,ALL,1,0,1,graph largest component ratio
graph_average_degree,graph,False,ALL,1,0,1,graph average degree
ac_egemaps_f0semitonefrom27_5hz_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps f0semitonefrom27 5hz sma3nz amean
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps f0semitonefrom27 5hz sma3nz stddevnorm
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile20_0,ac,False,ALL,0,1,0,ac egemaps f0semitonefrom27 5hz sma3nz percentile20 0
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile50_0,ac,False,ALL,0,1,0,ac egemaps f0semitonefrom27 5hz sma3nz percentile50 0
ac_egemaps_f0semitonefrom27_5hz_sma3nz_percentile80_0,ac,False,ALL,0,1,0,ac egemaps f0semitonefrom27 5hz sma3nz percentile80 0
ac_egemaps_f0semitonefrom27_5hz_sma3nz_pctlrange0_2,ac,False,ALL,0,1,0,ac egemaps f0semitonefrom27 5hz sma3nz pctlrange0 2
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanrisingslope,ac,False,ALL,0,1,0,ac egemaps f0semitonefrom27 5hz sma3nz meanrisingslope
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevrisingslope,ac,False,ALL,0,1,0,ac egemaps f0semitonefrom27 5hz sma3nz stddevrisingslope
ac_egemaps_f0semitonefrom27_5hz_sma3nz_meanfallingslope,ac,False,ALL,0,1,0,ac egemaps f0semitonefrom27 5hz sma3nz meanfallingslope
ac_egemaps_f0semitonefrom27_5hz_sma3nz_stddevfallingslope,ac,False,ALL,0,1,0,ac egemaps f0semitonefrom27 5hz sma3nz stddevfallingslope
ac_egemaps_loudness_sma3_amean,ac,False,ALL,0,1,0,ac egemaps loudness sma3 amean
ac_egemaps_loudness_sma3_stddevnorm,ac,False,ALL,0,1,0,ac egemaps loudness sma3 stddevnorm
ac_egemaps_loudness_sma3_percentile20_0,ac,False,ALL,0,1,0,ac egemaps loudness sma3 percentile20 0
ac_egemaps_loudness_sma3_percentile50_0,ac,False,ALL,0,1,0,ac egemaps loudness sma3 percentile50 0
ac_egemaps_loudness_sma3_percentile80_0,ac,False,ALL,0,1,0,ac egemaps loudness sma3 percentile80 0
ac_egemaps_loudness_sma3_pctlrange0_2,ac,False,ALL,0,1,0,ac egemaps loudness sma3 pctlrange0 2
ac_egemaps_loudness_sma3_meanrisingslope,ac,False,ALL,0,1,0,ac egemaps loudness sma3 meanrisingslope
ac_egemaps_loudness_sma3_stddevrisingslope,ac,False,ALL,0,1,0,ac egemaps loudness sma3 stddevrisingslope
ac_egemaps_loudness_sma3_meanfallingslope,ac,False,ALL,0,1,0,ac egemaps loudness sma3 meanfallingslope
ac_egemaps_loudness_sma3_stddevfallingslope,ac,False,ALL,0,1,0,ac egemaps loudness sma3 stddevfallingslope
ac_egemaps_spectralflux_sma3_amean,ac,False,ALL,0,1,0,ac egemaps spectralflux sma3 amean
ac_egemaps_spectralflux_sma3_stddevnorm,ac,False,ALL,0,1,0,ac egemaps spectralflux sma3 stddevnorm
ac_egemaps_mfcc1_sma3_amean,ac,False,ALL,0,1,0,ac egemaps mfcc1 sma3 amean
ac_egemaps_mfcc1_sma3_stddevnorm,ac,False,ALL,0,1,0,ac egemaps mfcc1 sma3 stddevnorm
ac_egemaps_mfcc2_sma3_amean,ac,False,ALL,0,1,0,ac egemaps mfcc2 sma3 amean
ac_egemaps_mfcc2_sma3_stddevnorm,ac,False,ALL,0,1,0,ac egemaps mfcc2 sma3 stddevnorm
ac_egemaps_mfcc3_sma3_amean,ac,False,ALL,0,1,0,ac egemaps mfcc3 sma3 amean
ac_egemaps_mfcc3_sma3_stddevnorm,ac,False,ALL,0,1,0,ac egemaps mfcc3 sma3 stddevnorm
ac_egemaps_mfcc4_sma3_amean,ac,False,ALL,0,1,0,ac egemaps mfcc4 sma3 amean
ac_egemaps_mfcc4_sma3_stddevnorm,ac,False,ALL,0,1,0,ac egemaps mfcc4 sma3 stddevnorm
ac_egemaps_jitterlocal_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps jitterlocal sma3nz amean
ac_egemaps_jitterlocal_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps jitterlocal sma3nz stddevnorm
ac_egemaps_shimmerlocaldb_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps shimmerlocaldb sma3nz amean
ac_egemaps_shimmerlocaldb_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps shimmerlocaldb sma3nz stddevnorm
ac_egemaps_hnrdbacf_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps hnrdbacf sma3nz amean
ac_egemaps_hnrdbacf_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps hnrdbacf sma3nz stddevnorm
ac_egemaps_logrelf0_h1_h2_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps logrelf0 h1 h2 sma3nz amean
ac_egemaps_logrelf0_h1_h2_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps logrelf0 h1 h2 sma3nz stddevnorm
ac_egemaps_logrelf0_h1_a3_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps logrelf0 h1 a3 sma3nz amean
ac_egemaps_logrelf0_h1_a3_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps logrelf0 h1 a3 sma3nz stddevnorm
ac_egemaps_f1frequency_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps f1frequency sma3nz amean
ac_egemaps_f1frequency_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps f1frequency sma3nz stddevnorm
ac_egemaps_f1bandwidth_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps f1bandwidth sma3nz amean
ac_egemaps_f1bandwidth_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps f1bandwidth sma3nz stddevnorm
ac_egemaps_f1amplitudelogrelf0_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps f1amplitudelogrelf0 sma3nz amean
ac_egemaps_f1amplitudelogrelf0_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps f1amplitudelogrelf0 sma3nz stddevnorm
ac_egemaps_f2frequency_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps f2frequency sma3nz amean
ac_egemaps_f2frequency_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps f2frequency sma3nz stddevnorm
ac_egemaps_f2bandwidth_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps f2bandwidth sma3nz amean
ac_egemaps_f2bandwidth_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps f2bandwidth sma3nz stddevnorm
ac_egemaps_f2amplitudelogrelf0_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps f2amplitudelogrelf0 sma3nz amean
ac_egemaps_f2amplitudelogrelf0_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps f2amplitudelogrelf0 sma3nz stddevnorm
ac_egemaps_f3frequency_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps f3frequency sma3nz amean
ac_egemaps_f3frequency_sma3nz_stddevnorm,ac,False,ALL,0,1,0,ac egemaps f3frequency sma3nz stddevnorm
ac_egemaps_f3bandwidth_sma3nz_amean,ac,False,ALL,0,1,0,ac egemaps f3bandwidth sma3nz amean
