language,list_name,list_rank,feature_name,feature_group,p_value,bonferroni_p,fdr_bh_p,h_statistic,other_rank
Chinese,permutation_top10,8,ac_mfcc_1_std,ac,0.010626191921349245,1.0,0.019067559335505187,6.526783888775299,
Chinese,permutation_top10,9,ac_zcr_mean,ac,3.5133996688426335e-05,0.006745727364177856,0.00010609628203022984,17.11766509916174,
Chinese,permutation_top10,10,syn_pronoun_ratio,syn,4.052840868777838e-11,7.781454468053449e-09,2.683260161397741e-10,43.58815805904001,
Greek,significance_top10,1,ac_egemaps_loudness_sma3_stddevfallingslope,ac,3.122219492259412e-12,5.994661425138071e-10,3.6536245930368853e-10,48.610319840080024,
Greek,significance_top10,2,ac_rms_std,ac,3.8058589510800886e-12,7.307249186073771e-10,3.6536245930368853e-10,48.22204282474149,
Greek,significance_top10,3,ac_egemaps_loudness_sma3_stddevrisingslope,ac,1.0125643949855483e-11,1.9441236383722527e-09,6.480412127907509e-10,46.30401145581061,1.0
Greek,significance_top10,4,ac_egemaps_loudness_sma3_meanrisingslope,ac,2.7569561304927292e-11,5.29335577054604e-09,1.32333894263651e-09,44.342290393264875,
Greek,significance_top10,5,ac_egemaps_loudness_sma3_pctlrange0_2,ac,4.0292990760006536e-10,7.736254225921255e-08,1.547250845184251e-08,39.0986141544613,
Greek,significance_top10,6,ac_egemaps_loudness_sma3_meanfallingslope,ac,9.566227454763897e-10,1.8367156713146684e-07,3.061192785524447e-08,37.41138084803754,
Greek,significance_top10,7,ac_egemaps_equivalentsoundlevel_dbp,ac,7.477078139659454e-06,0.0014355990028146152,0.0002050855718306593,20.067129896590245,
Greek,significance_top10,8,ac_egemaps_spectralfluxv_sma3nz_stddevnorm,ac,1.3649116231979913e-05,0.0026206303165401436,0.00032757878956751795,18.917550839964633,3.0
Greek,significance_top10,9,ac_egemaps_loudness_sma3_percentile80_0,ac,8.353732393563474e-05,0.01603916619564187,0.0017821295772935412,15.476502133548593,
Greek,significance_top10,10,disc_semantic_drift,disc,0.0004912284020482097,0.09431585319325628,0.0078596544327716,12.148671603829886,
Greek,permutation_top10,1,ac_egemaps_loudness_sma3_stddevrisingslope,ac,1.0125643949855483e-11,1.9441236383722527e-09,6.480412127907509e-10,46.30401145581061,3.0
Greek,permutation_top10,2,ac_egemaps_jitterlocal_sma3nz_stddevnorm,ac,0.8841547543787894,1.0,0.9327755892927548,0.021229769730553016,
Greek,permutation_top10,3,ac_egemaps_spectralfluxv_sma3nz_stddevnorm,ac,1.3649116231979913e-05,0.0026206303165401436,0.00032757878956751795,18.917550839964633,8.0
Greek,permutation_top10,4,ac_egemaps_slopev0_500_sma3nz_amean,ac,0.8427274390485321,1.0,0.9193390244165804,0.03936493291826082,
Greek,permutation_top10,5,ac_mfcc_5_std,ac,0.0010384430766399875,0.1993810707148776,0.011728298277345742,10.757736516357227,
Greek,permutation_top10,6,ac_egemaps_spectralfluxv_sma3nz_amean,ac,0.014696471741214672,1.0,0.06882250181251748,5.952494906392985,
Greek,permutation_top10,7,syn_determiner_ratio,syn,0.28268404675917047,1.0,0.49793887135560305,1.1541406228678739,
Greek,permutation_top10,8,ac_egemaps_f3frequency_sma3nz_amean,ac,0.6397029900070952,1.0,0.7873267569318094,0.2191308192058159,
Greek,permutation_top10,9,len_std_utterance_length,len,0.0707590568944656,1.0,0.20277222274234918,3.2653236904934717,
Greek,permutation_top10,10,ac_rms_mean,ac,0.004974434582439489,0.9550914398283818,0.03317422955424016,7.888709491408235,
