language,feature_name,feature_group,t_statistic,p_value,mean_ad,mean_hc,median_ad,median_hc,cohens_d,cohens_d_abs,direction,bonferroni_p,fdr_bh_p,significant_bonferroni,significant_fdr,tested_features,bonferroni_significant_count,fdr_significant_count
Pooled,syn_pronoun_ratio,syn,9.181130498234712,1.8865143323824926e-19,0.06907796522609082,0.043983991039721886,0.0689655172413793,0.0,0.4160058060943085,0.4160058060943085,AD>HC,8.866617362197714e-18,8.060561238361558e-19,True,True,47,35,43
Pooled,lex_brunet,lex,-8.10040881281356,1.1551448923128386e-15,9.938413465881142,10.59370889947089,9.876689212544962,10.230293898053947,-0.348469768122748,0.348469768122748,AD<HC,5.4291809938703416e-14,4.524317494891951e-15,True,True,47,35,43
Pooled,lex_function_word_ratio,lex,8.028105797477362,2.058264746457987e-15,0.30613657460202687,0.2277075846679427,0.4042553191489361,0.19336510263929613,0.34667184674683926,0.34667184674683926,AD>HC,9.673844308352538e-14,7.441418698732721e-15,True,True,47,35,43
Pooled,graph_average_degree,graph,-7.872396516313499,5.762914713823654e-15,2.867056048597957,3.116394585997231,2.772727272727273,2.857142857142857,-0.3169649610453362,0.3169649610453362,AD<HC,2.7085699154971174e-13,1.9346927967836552e-14,True,True,47,35,43
Pooled,syn_cconj_ratio,syn,7.425314141749138,2.2391938608945356e-13,0.03048915695477608,0.01914099000070861,0.0161290322580645,0.0,0.34112851675106665,0.34112851675106665,AD>HC,1.0524211146204318e-11,7.016140764136212e-13,True,True,47,35,43
Pooled,lex_content_word_ratio,lex,6.816282609188429,1.3512144940393765e-11,0.33233693816642945,0.2607942708172782,0.4230769230769231,0.3944126819126819,0.29084732306254546,0.29084732306254546,AD>HC,6.350708121985069e-10,3.9691925762406684e-11,True,True,47,35,43
Pooled,syn_determiner_ratio,syn,6.125136026110648,1.202413001426741e-09,0.08508708120987044,0.06379856211063754,0.0802469135802469,0.0,0.2709446368265279,0.2709446368265279,AD>HC,5.651341106705683e-08,3.3243182980621667e-09,True,True,47,35,43
Pooled,syn_propn_ratio,syn,6.047407104870143,2.155834379981774e-09,0.017806981843438187,0.007578766010018763,0.0,0.0,0.2949967352030805,0.2949967352030805,AD>HC,1.0132421585914337e-07,5.629123103285743e-09,True,True,47,35,43
Pooled,len_tokens_per_utterance,len,5.945360778005073,4.280266092079181e-09,49.87994688995736,15.938718295528004,10.333333333333334,8.857142857142858,0.3120634985571354,0.3120634985571354,AD>HC,2.0117250632772153e-07,1.0588026648827448e-08,True,True,47,35,43
Pooled,lex_mattr_10,lex,-5.8543002037621665,6.846173840815946e-09,0.912099503470081,0.9280716860091053,0.9249999999999996,0.9308518393293481,-0.29112432418614365,0.29112432418614365,AD<HC,3.2177017051834947e-07,1.6088508525917474e-08,True,True,47,35,43
