run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc
language_zh_pd_ctp_rich,acoustic_only,5,5,lr,c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,5,5,dt,depth20,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,5,5,rf,n200,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,5,5,svm,linear_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,5,5,svm,rbf_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,10,10,lr,c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,10,10,dt,depth20,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,10,10,rf,n200,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,10,10,svm,linear_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,10,10,svm,rbf_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,20,20,lr,c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,20,20,dt,depth20,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,20,20,rf,n200,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,20,20,svm,linear_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,20,20,svm,rbf_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,50,50,lr,c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,50,50,dt,depth20,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,50,50,rf,n200,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,50,50,svm,linear_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,50,50,svm,rbf_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,100,100,lr,c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,100,100,dt,depth20,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,100,100,rf,n200,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,100,100,svm,linear_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,100,100,svm,rbf_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,all,105,lr,c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,all,105,dt,depth20,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,all,105,rf,n200,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,all,105,svm,linear_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,acoustic_only,all,105,svm,rbf_c1,0.8888888888888888,0.7708333333333333,1.0,0.7777777777777778,0.5,0.8888888888888888,0.5
language_zh_pd_ctp_rich,all_universal,5,5,lr,c1,0.8680555555555556,0.8058823529411765,0.875,0.8611111111111112,0.5833333333333334,0.9513888888888888,0.837202380952381
language_zh_pd_ctp_rich,text_only,5,5,lr,c1,0.8680555555555556,0.8058823529411765,0.875,0.8611111111111112,0.5833333333333334,0.9513888888888888,0.837202380952381
