run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_zh_all_rich,all_universal,100,100,svm,linear_c1,0.7613960113960114,0.7740538504989645,0.6153846153846154,0.9074074074074074,0.7619047619047619,0.8646723646723646,0.8155841663961982,0.8125
language_zh_all_rich,all_universal,100,100,lr,c1,0.7613960113960114,0.7740538504989645,0.6153846153846154,0.9074074074074074,0.7619047619047619,0.8603988603988604,0.8184772724787542,0.8125
language_zh_all_rich,all_universal,50,50,lr,c1,0.7613960113960114,0.7740538504989645,0.6153846153846154,0.9074074074074074,0.7619047619047619,0.8141025641025642,0.7823171346428702,0.8125
language_zh_all_rich,text_plus_pause_plus_acoustic,50,50,lr,c1,0.7613960113960114,0.7740538504989645,0.6153846153846154,0.9074074074074074,0.7619047619047619,0.8141025641025642,0.7823171346428702,0.8125
language_zh_all_rich,text_plus_pause_plus_acoustic,all,187,dt,depth20,0.7813390313390314,0.784133837021047,0.6923076923076923,0.8703703703703703,0.72,0.7813390313390313,0.5984615384615385,0.8125
language_zh_all_rich,text_plus_pause_plus_acoustic,all,187,lr,c1,0.7720797720797721,0.7720797720797721,0.6923076923076923,0.8518518518518519,0.6923076923076923,0.891025641025641,0.8451486664121683,0.8
language_zh_all_rich,text_plus_pause,100,82,lr,c1,0.782051282051282,0.7763801537386443,0.7307692307692307,0.8333333333333334,0.6785714285714286,0.8653846153846154,0.8037777372882393,0.8
language_zh_all_rich,text_plus_pause,all,82,lr,c1,0.782051282051282,0.7763801537386443,0.7307692307692307,0.8333333333333334,0.6785714285714286,0.8653846153846154,0.8037777372882393,0.8
language_zh_all_rich,text_plus_pause_plus_acoustic,100,100,rf,n200,0.7122507122507122,0.7333333333333334,0.4615384615384615,0.9629629629629628,0.8571428571428571,0.9106125356125356,0.8169977242307169,0.7999999999999999
language_zh_all_rich,all_universal,100,100,rf,n200,0.7122507122507122,0.7333333333333334,0.4615384615384615,0.9629629629629628,0.8571428571428571,0.88497150997151,0.8037373285611606,0.7999999999999999
language_zh_all_rich,text_plus_pause,50,50,svm,rbf_c1,0.7628205128205128,0.7601833891729853,0.6923076923076923,0.8333333333333334,0.6666666666666666,0.8732193732193733,0.800779711718631,0.7875
language_zh_all_rich,text_only,100,61,rf,n200,0.7029914529914529,0.7212543554006968,0.4615384615384615,0.9444444444444444,0.8,0.8425925925925926,0.7071067206357948,0.7875
language_zh_all_rich,all_universal,50,50,svm,linear_c1,0.7329059829059829,0.7439276972321597,0.5769230769230769,0.8888888888888888,0.7142857142857143,0.7955840455840455,0.7394473489876285,0.7875
language_zh_all_rich,text_plus_pause_plus_acoustic,50,50,svm,linear_c1,0.7329059829059829,0.7439276972321597,0.5769230769230769,0.8888888888888888,0.7142857142857143,0.7955840455840455,0.7394473489876285,0.7875
language_zh_all_rich,all_universal,20,20,rf,n200,0.6730769230769231,0.6891428571428571,0.3461538461538461,1.0,1.0,0.7799145299145299,0.7435200574586831,0.7875
language_zh_all_rich,text_plus_pause_plus_acoustic,20,20,rf,n200,0.6730769230769231,0.6891428571428571,0.3461538461538461,1.0,1.0,0.7799145299145299,0.7435200574586831,0.7875
language_zh_all_rich,all_universal,all,192,dt,depth20,0.7628205128205128,0.7601833891729853,0.6923076923076923,0.8333333333333334,0.6666666666666666,0.7628205128205129,0.5615384615384615,0.7875
language_zh_all_rich,text_plus_pause,50,50,svm,linear_c1,0.7735042735042735,0.7565922920892495,0.7692307692307693,0.7777777777777778,0.625,0.8767806267806267,0.7584002526835969,0.775
language_zh_all_rich,text_plus_pause,50,50,lr,c1,0.7535612535612535,0.7484276729559749,0.6923076923076923,0.8148148148148148,0.6428571428571429,0.853988603988604,0.7259414843030148,0.775
language_zh_all_rich,text_only,all,61,rf,n200,0.6837606837606838,0.7,0.4230769230769231,0.9444444444444444,0.7857142857142857,0.8493589743589743,0.7256491356102555,0.775
language_zh_all_rich,all_universal,100,100,svm,rbf_c1,0.7336182336182336,0.7381818181818182,0.6153846153846154,0.8518518518518519,0.6666666666666666,0.836894586894587,0.7210603695845461,0.775
language_zh_all_rich,text_plus_pause_plus_graph,50,50,dt,depth20,0.7535612535612535,0.7484276729559749,0.6923076923076923,0.8148148148148148,0.6428571428571429,0.7535612535612536,0.5450549450549451,0.775
language_zh_all_rich,all_universal,20,20,dt,depth20,0.7136752136752136,0.7254004576659039,0.5384615384615384,0.8888888888888888,0.7,0.7136752136752136,0.5269230769230768,0.775
language_zh_all_rich,text_plus_pause_plus_acoustic,20,20,dt,depth20,0.7136752136752136,0.7254004576659039,0.5384615384615384,0.8888888888888888,0.7,0.7136752136752136,0.5269230769230768,0.775
language_zh_all_rich,all_universal,50,50,rf,n200,0.6445868945868947,0.6525714285714286,0.3076923076923077,0.9814814814814816,0.8888888888888888,0.8265669515669516,0.7299521361075246,0.7625000000000001
language_zh_all_rich,text_plus_pause_plus_acoustic,50,50,rf,n200,0.6445868945868947,0.6525714285714286,0.3076923076923077,0.9814814814814816,0.8888888888888888,0.8265669515669516,0.7299521361075246,0.7625000000000001
language_zh_all_rich,text_plus_pause_plus_graph,100,87,lr,c1,0.7343304843304843,0.7319696702521601,0.6538461538461539,0.8148148148148148,0.6296296296296297,0.8646723646723646,0.8117907977071053,0.7625
language_zh_all_rich,text_plus_pause_plus_graph,all,87,lr,c1,0.7343304843304843,0.7319696702521601,0.6538461538461539,0.8148148148148148,0.6296296296296297,0.8646723646723646,0.8117907977071053,0.7625
