run_name,subset,top_k,num_features,model_family,model_variant,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,accuracy
language_el_all_rich,all_universal,20,20,rf,n200,0.7321428571428572,0.7437288135593221,0.8928571428571429,0.5714285714285714,0.8064516129032258,0.8762755102040816,0.9382354594919404,0.7857142857142857
language_el_all_rich,text_plus_pause_plus_acoustic,20,20,rf,n200,0.7321428571428572,0.7437288135593221,0.8928571428571429,0.5714285714285714,0.8064516129032258,0.8762755102040816,0.9382354594919404,0.7857142857142857
language_el_all_rich,acoustic_only,all,105,rf,n200,0.75,0.7543859649122806,0.8571428571428571,0.6428571428571429,0.8275862068965517,0.875,0.9474824323956584,0.7857142857142857
language_el_all_rich,all_universal,10,10,svm,rbf_c1,0.8035714285714286,0.7754010695187166,0.75,0.8571428571428571,0.9130434782608696,0.8647959183673469,0.9298694922969436,0.7857142857142857
language_el_all_rich,acoustic_only,10,10,svm,rbf_c1,0.8035714285714286,0.7754010695187166,0.75,0.8571428571428571,0.9130434782608696,0.8647959183673469,0.9298694922969436,0.7857142857142857
language_el_all_rich,text_plus_pause_plus_acoustic,10,10,svm,rbf_c1,0.8035714285714286,0.7754010695187166,0.75,0.8571428571428571,0.9130434782608696,0.8647959183673469,0.9298694922969436,0.7857142857142857
language_el_all_rich,acoustic_only,20,20,svm,linear_c1,0.7678571428571428,0.7630094043887148,0.8214285714285714,0.7142857142857143,0.8518518518518519,0.8494897959183674,0.9228364120794318,0.7857142857142857
language_el_all_rich,acoustic_only,100,100,svm,linear_c1,0.8035714285714286,0.7754010695187166,0.75,0.8571428571428571,0.9130434782608696,0.8443877551020408,0.9227051851895912,0.7857142857142857
language_el_all_rich,all_universal,100,100,svm,linear_c1,0.8392857142857143,0.7826336975273145,0.6785714285714286,1.0,1.0,0.8303571428571429,0.9291287045760388,0.7857142857142857
language_el_all_rich,acoustic_only,20,20,dt,depth20,0.7857142857142857,0.7699330493000609,0.7857142857142857,0.7857142857142857,0.88,0.7857142857142856,0.8342857142857143,0.7857142857142857
language_el_all_rich,text_plus_pause_plus_acoustic,100,100,lr,c1,0.8035714285714286,0.7569444444444444,0.6785714285714286,0.9285714285714286,0.95,0.8954081632653063,0.9523868468812098,0.7619047619047619
language_el_all_rich,acoustic_only,50,50,svm,linear_c1,0.7678571428571428,0.7475961538461539,0.75,0.7857142857142857,0.875,0.8877551020408163,0.9491919616606768,0.7619047619047619
language_el_all_rich,acoustic_only,all,105,svm,linear_c1,0.7857142857142857,0.7529411764705882,0.7142857142857143,0.8571428571428571,0.9090909090909092,0.8852040816326531,0.9477210008809775,0.7619047619047619
