subset,top_k,model,num_features,balanced_accuracy,macro_f1,auroc,auprc,sensitivity,specificity,precision
text_plus_acoustic,10,rf,10,0.5893913088321243,0.5894948954211562,0.681214975762368,0.5109796449653955,0.2923728813559322,0.8864097363083164,0.552
text_only,20,rf,20,0.5884888438133874,0.5837490651061422,0.7376792037680063,0.5394301211942806,0.25,0.9269776876267748,0.6210526315789474
acoustic_only,50,linear_svm,38,0.5852442671984048,0.5847431140863814,0.6761138996802696,0.4628480146970388,0.288135593220339,0.8823529411764706,0.5396825396825397
acoustic_only,all,linear_svm,38,0.5852442671984048,0.5847431140863814,0.6761138996802696,0.4628480146970388,0.288135593220339,0.8823529411764706,0.5396825396825397
acoustic_only,50,logreg,38,0.5836456148794994,0.5861649501256995,0.6022578815278303,0.42363505716353256,0.3559322033898305,0.8113590263691683,0.4745762711864407
acoustic_only,all,logreg,38,0.5836456148794994,0.5861649501256995,0.6022578815278303,0.42363505716353256,0.3559322033898305,0.8113590263691683,0.4745762711864407
text_only,10,rf,10,0.5766794444253447,0.5736569918148966,0.6814470381957576,0.4910172431740912,0.2669491525423729,0.8864097363083164,0.5294117647058824
acoustic_only,20,linear_svm,20,0.5666491903599546,0.557259147186055,0.6745625193385361,0.4427436006168392,0.2245762711864407,0.9087221095334685,0.5408163265306123
acoustic_only,50,rf,38,0.5620767009316876,0.5632891065429075,0.6010116203114794,0.4185008106763176,0.3432203389830508,0.7809330628803245,0.42857142857142855
acoustic_only,20,logreg,20,0.559098566369856,0.5456491577966138,0.6076941589026025,0.41113534517187356,0.2033898305084746,0.9148073022312373,0.5333333333333333
acoustic_only,all,rf,38,0.5576589197923472,0.5583314328364398,0.603865128751676,0.4190965751881963,0.326271186440678,0.7890466531440162,0.425414364640884
acoustic_only,10,linear_svm,10,0.545913982191357,0.5330138318821325,0.6459414858871662,0.4168938000651705,0.2033898305084746,0.8884381338742393,0.46601941747572817
acoustic_only,10,logreg,10,0.5269364320830612,0.5076756756756756,0.5556176298690138,0.379220068501532,0.1694915254237288,0.8843813387423936,0.41237113402061853
